acid	-7086.99	-14206.41	10951.18	-4149.83	3025.3	-2277.31	-697.29	3356.73	-676.05	2179.48	-5081.53	1255.94	152.95	903.22	-346.82	-1590.44	-570	-710.62	-281.77	-1993.92	-133.25	-389.39	-1493.58	2428.77	1782.83	827.02	-460.72	662.17	-876.58	-157.08	166.51	379.72	-128.94	-1182.92
acoustic	-9334.96	-20425.61	15201.69	-2175.47	2001.78	-123.45	1253.28	395.58	552.78	792.03	468.75	-220.47	663.2	-904.39	-2345.76	149.46	-258.28	795.78	-1882.14	337.46	-223.68	-1242.86	491.56	-94.34	441.09	-994.57	-410.62	466.1	-340.92	1092.16	844.84	-476.62	-575.42	-1848.56
actinide	-18870.62	-8983.43	15624.82	-8818.45	1575.37	-2849.29	1962.4	-4706.84	-2132.96	-2064.69	2930	2053.09	-609.85	3928.14	-1951.43	122.7	-2517.37	731.75	3845.19	868	1152.99	971.21	-1978.15	-2985.25	1125.79	1060.94	-604.06	-3555.19	3546.41	4314.34	103.93	2926.5	1661.15	-860.45
action	-15284.91	-26908.88	12760.5	-268.42	-2095.67	2416.18	5051.56	143.19	-396.5	1450.39	1071.23	-864.17	140.85	-701.31	-442.44	2161.83	1846.12	851.59	872.98	251.62	-2096.26	-785.82	1172.94	705.3	2285.38	856.12	1708.38	-288.22	-2075.71	1357.12	1188.9	-476.07	-987.43	-1227.47
actions	-8491.86	-21376.36	11288.9	-699.47	-1360.67	-2617.17	5693.78	2445.16	-5536.37	107.22	4385.61	255.28	-1848.51	1557.75	4462.91	-2042.47	3407.2	389.44	618.9	1291.07	-681.12	-761.03	430.5	945.67	1401.77	-2278.47	-265.97	632.97	1429.69	-1100.31	-1160.93	-848	1626.69	-1109.41
activated	-16103.95	-21321.83	7312.18	-2561.91	6766.86	-1873.01	1407.02	2833.59	2304.38	-461.82	234.26	1274.37	-267.43	-432.13	482.53	3300.57	1119.85	-882.76	3505.66	890.3	-1267.43	-1709.11	712.81	708.4	-2757.8	-328.22	642.1	292.43	507.53	-360.21	-287.38	327.28	-475.82	958.35
activation	-17675.69	-21363.86	10002.46	-1752.75	5229.88	1059.84	573.81	-321.91	-4330.53	-441.38	-824.91	-888.11	2834.94	3060.94	984.91	2041.66	-2383.41	309.07	1626.44	26.09	-1754.98	-1015.43	-2710.99	1067.1	-2123.67	-18.63	1971.38	-641.52	-1012.26	-3433.7	664.14	1530.21	-743.68	-343.84
active	-5948.16	-19202.52	13081.6	-2201.78	2476.92	-1675.23	2959.83	1666.52	-1792.02	-245.15	-697.61	1512.4	651.62	143.53	60.46	-699.53	-484.48	373.43	783.11	-285.38	647.14	1336.85	-1201.49	-360.72	-576.64	-871.91	1440.05	-95.36	728.75	48.29	0.73	-673.92	-220.19	482.09
activity	-5823.89	-17781.76	12777.67	-4435.77	3844.68	-303.89	1205.02	1664.6	-2141.53	474.09	1563.76	-2835.42	-929.26	-1128.98	647.45	-2561.28	-1853.01	1989.15	4001.06	369.71	969.16	82.76	846.09	1356.6	1106.84	-693.77	641.71	1672.65	949.16	-405.32	800.03	431.82	511.19	602.27
adaptive	-2259.48	-21645	14025.45	301.82	1118.84	-1221.01	2276.81	162	-1460.56	432.5	-677.09	-277.02	2551.15	573.8	336.63	938.11	57.99	-818.73	-4365.94	-542.4	-1119.2	-45.08	235.34	409.65	824.76	-255.42	887.13	-671.27	-494.32	422.65	137.9	-144.51	57.25	-200.28
adatom	-11966.8	-20368.94	7698.92	1248.05	-1082.89	-206.05	1439.45	824.29	-5249.1	1486.97	1568.43	1330.33	-1081.71	1607.64	1988.67	318.44	1116.72	1599.97	2142.41	1784.76	1403.13	-218.59	-1913.5	-407.39	-755.26	408.12	799.87	-1158.96	2407.36	-376.93	-96.92	-643.38	525.77	-2374.57
adatoms	-6321.25	-18509.01	10445.57	22.15	1452.05	-1610.85	4303.79	-2621.36	623.04	-1708.76	-1077.27	177.58	-2502.18	1975.3	1682.05	-1559.34	-822.24	577.38	513.82	-70.73	1221.12	-1273.8	-1130.08	104.55	-561.4	-311.5	408.18	462.49	64.26	512.4	577.92	1013.56	-39.09	182.83
addendum	-17017.61	-5101.71	15819.11	-3725.28	-4014.45	-501.07	-413.46	312.12	967.69	-704.86	-6041.84	1256.25	-988.4	-4364.4	2929.43	2485.47	1666.58	2170.65	827.79	1125.69	2863.97	989.64	2631.55	-2346.66	1058.66	1450.27	-4135.76	-4059.28	-1873.22	-1561.66	1137.7	3311.61	10.58	938.85
additional	-15233.48	-10113.94	8300.79	-2761.97	96	498.9	270.58	258.15	2658.56	-716.31	-3582.37	-1490.12	-1010.73	209.56	5690.28	208.93	882.04	2089.53	1368.6	-3653.79	-356.77	2832.85	1420.97	-1354.04	1320.79	-3329.14	-1603.88	2175.12	370.26	13.87	634.37	-1018.92	466.08	657.85
adhesion	-1752.19	-16343.49	11290.39	-2422.92	3003.92	206.83	1108.28	533.97	-183.07	-1361.26	-3320.95	-1224.81	-945.43	-2467.9	310.37	566.69	-1073.16	-917.96	-2172.06	-352.79	-542.98	103.13	-396.07	461.91	-428.65	-18.67	666.6	-482.69	-129.03	283.35	414.66	-37.39	28.91	109.67
adiabatic	-7389.35	-18618.22	13181.56	-4984.94	3481.73	403.69	172.04	668.86	420.53	907.22	-1007.09	1766.59	64.96	25.1	472.66	-1083.68	-264.71	722.17	950.94	-1656.86	-211.43	-119.06	605.18	641.05	-678.72	355.27	-51.25	139.69	284.78	-189.77	476.69	346.62	17.79	-74.28
ads	1197.47	-12669.07	11024.04	-2174.48	258.43	375.17	3638.24	-645.22	-87.96	1317.2	-1440.39	2956.89	187.72	-2093.34	1682.5	2664.91	1993.77	11.13	-373.73	-353.63	1238.56	-1552.24	-563.1	12.78	561.61	-86.98	267.73	102.39	-388.23	-48.91	207.1	-244.66	-127.85	-124.94
adsorbate	-22693.92	-20481.38	7605.58	-6648.17	-1757.08	2829.04	3941.13	1292.39	2454.3	-2151.25	-230.78	26.4	-340.81	234.79	-1389.1	543.25	3619.38	646.71	4485.64	-1817.58	517.54	-579.7	130.57	2576.34	-296.37	-52.29	-770.04	-1206.26	1795.33	2555.25	369.21	-101.83	662.77	-1088.78
adsorbates	-14988.5	-17795.45	6882.77	-4318.1	2569.61	-1692.09	2098.82	-116.67	661.15	-1431.11	-1556.92	915.27	-682.68	3688.3	3145.35	1901.16	1048.98	1423.75	1349.39	-143	1069.22	-3117.9	-974.94	3455.3	2047.13	996.04	-3957.54	4747.35	1452.99	-1219.68	1900.93	3035.51	578.52	-246.13
adsorbed	-25731.34	-20828.36	9627.09	-7667.89	-685.18	-1729.28	2769.29	2379.4	-205.77	1282.66	1576.45	373.23	-755.63	1411.06	-291.22	-82.61	733.87	2429.17	-663.78	1114.2	-1514	368.04	-2246.99	3763.91	1098.66	-676.48	-43.45	-326.32	-1532.57	-64.46	-384.06	-1552.15	161.86	-1229.94
adsorption	-12500.79	-24918.46	11236.52	-1532.71	2065.01	1692.16	50.63	1257.78	-90.92	-79.41	-672.23	143.45	1757.91	-1651.37	153.25	-702.18	917.82	1347.13	806.87	-642.37	750.05	-823.04	-424.89	852.11	122.94	237.73	502.59	-670.2	489.69	534.56	-65.07	-326.71	471.95	-987.2
ag	-20744.77	-26459.25	11420.04	-1961.19	1854.28	2097.84	-245.46	734.55	212.95	1185.88	-516.21	1069.42	1136.14	-1679.03	75.41	-209.67	-945.54	2896.25	1128.84	-844.11	1090.77	724.18	357.9	-281.76	186.11	1411.53	670.85	288.21	609.06	-96.83	309.91	-46.7	-192.12	-1611.41
