bursts	000001256	002
c	011125755	013
ca	000024676	013
cabibbo	222213323	111
cacu	000016754	013
cadmium	442111100	200
caf	640044211	210
calcium	442244246	222
calculated	032255445	122
calculating	101233434	012
calculation	122347645	123
calculations	010123337	012
can	001112457	013
canonical	011223455	012
capacitance	000023435	012
capacity	001122446	012
capillary	000011457	003
capture	024557533	132
carbide	010012456	003
carbon	000000156	002
carlo	000246668	023
carrier	000023446	013
carriers	120035337	012
cascade	111123456	013
cascades	011123345	012
case	000122357	012
casimir	000000136	002
cation	101122446	012
causality	222133567	113
caused	010114656	013
cavities	000001358	003
cavity	000011247	002
cd	110256743	022
cds	573233521	211
cdse	000024458	013
cdte	000065423	022
ce	010125565	013
cell	000012337	002
cells	000011247	002
cellular	000025556	013
center	211154346	122
centered	411255434	122
centers	541126633	222
central	013333666	123
cerium	553645444	232
cern	000000124	001
cesium	222123423	111
cf	232111332	111
ch	013655645	133
chain	001124668	014
chains	000012557	003
change	000023446	012
changes	111224656	013
changing	000233446	012
channel	010012457	003
channeling	232353543	122
channels	000112347	013
chaos	000125764	013
chaotic	000013664	013
character	011134467	013
characteristic	222114646	113
characteristics	000015467	013
characterization	000012357	003
charge	011234578	013
charged	011224677	014
charges	132433456	123
charging	000013646	013
charm	003222537	013
charmed	006211211	100
charmonium	002113356	013
chemical	000123457	013
chemisorbed	002552110	020
chemisorption	015664322	131
chern	000016434	012
chiral	010134677	014
chirality	000000136	002
chloride	633235421	221
cholesteric	021421222	011
chromium	532243333	211
chromodynamics	003410000	010
circuit	000000127	002
circular	010014667	013
circularly	000013444	002
cl	132234757	123
class	012123455	012
classical	012234568	013
classification	102122234	011
clean	011135535	012
clock	000011135	001
cloning	000000055	002
close	111134677	013
closed	020134466	013
cloud	000001344	002
cluster	001235568	023
clustering	000011247	002
clusters	000024577	013
cm	121211125	011
cmb	000000036	001
cn	112133456	112
co	001123568	013
coalescence	000002456	003
coarsening	000001675	003
cobalt	211013337	002
coefficient	131124356	112
coefficients	331043556	113
coexistence	001112357	013
coherence	000013457	013
coherent	000012468	003
coherently	000013356	012
cohesive	020144434	012
coincidence	141233365	112
cold	000001358	003
collapse	000013587	013
collective	000234567	013
collider	000011226	002
colliders	000023665	013
colliding	043444575	123
collinear	000010146	002
collision	221344464	122
collisional	023454557	123
collisionless	142212555	112
collisions	013356778	124
colloidal	000001357	003
colloids	000001135	002
color	001112478	013
colored	000166223	021
colossal	000000274	002
columnar	000002643	002
combination	012212235	012
combined	000102257	002
commensurate	000544333	021
comment	012366776	024
comments	255320000	210
communication	000000146	002
compact	000002346	002
comparative	000112436	012
comparison	022245557	023
compensation	101111457	003
competing	000123357	012
competition	000012347	002
complete	000122365	012
complex	000012358	003
complexes	000123456	013
complexity	000001356	003
component	012232357	013
components	122213467	113
composite	000333767	013
composites	000124665	013
composition	011134576	013
compound	010133557	013
compounds	024577555	133
compressed	000111326	002
compressibility	111112342	002
compressible	010102355	002
compression	000101367	003
compton	253112467	213
computation	000001257	002
computational	000001246	002
computer	000124564	013
computing	000000155	002
concentrated	001313334	012
concentration	010134457	013
condensate	000000267	003
condensates	000000278	003
condensation	000001367	003
condensed	002233765	013
condition	111012447	003
conditions	011123468	013
conductance	000014567	013
conducting	010134667	013
conduction	111124345	012
conductivity	021235567	023
conductor	001335556	023
conductors	001133655	013
cone	030012345	002
configuration	122234457	113
configurations	112233667	013
confined	000013568	013
confinement	001113667	013
confining	001112334	012
conformal	021132557	013
conjecture	011225634	012
conjugated	000012564	003
connected	000113426	012
connection	111133356	012
consequences	232234546	112
conservation	153223635	212
conserved	522124456	113
conserving	201223545	013
consistency	230223447	112
consistent	123335656	123
constant	111223367	013
constants	562144646	223
constituent	012115665	013
constrained	000012357	003
constraining	000000136	002
constraint	000122235	012
constraints	000012347	002
construction	111123356	012
contact	000012246	002
contacts	000013567	013
containing	222123456	112
content	001125656	013
continuous	000112257	002
continuum	011245557	023
contribution	121225657	113
contributions	122445577	123
control	000000247	002
controlled	000001248	002
controlling	000001346	002
convection	000135775	013
convective	001232443	012
convergence	021133343	012
conversion	111023357	013
coo	000000136	002
cooled	000123654	013
cooling	000013558	003
cooper	000012147	002
cooperative	023232557	113
coordinate	122334465	123
coordinates	111232454	012
copolymer	000002465	003
copper	331147422	121
core	011234557	013
corrected	000024525	012
correction	010223436	012
corrections	010123556	013
correlated	000013558	013
correlation	011135668	013
correlations	010113558	013
correspondence	000011356	003
cosmic	100022456	012
cosmological	000112367	013
cosmologies	010122474	013
cosmology	000012357	003
couette	000133336	012
coulomb	011135677	014
counting	101001147	002
coupled	000013568	013
coupling	000012447	003
couplings	111013656	013
covalent	221223224	111
covariant	112143457	113
coverage	000146554	022
covered	010234643	012
cp	000012466	013
cpt	010001373	002
cr	031135668	123
crack	000001325	002
creation	011123555	013
creep	000017543	012
criterion	000122355	012
critical	012245778	024
criticality	000012357	003
cross	144334447	122
crossed	210133557	013
crossing	441113446	212
crossover	000113457	013
crystal	000024467	013
crystalline	011134577	013
crystallization	000122667	013
crystals	010024677	014
cs	123335767	123
cu	000048754	023
cubic	122133667	113
cucl	133424534	122
cugeo	000000710	001
cummings	000016212	011
cuo	000037554	023
cuprate	000001246	002
cuprates	000002575	003
curie	431113356	113
current	210002358	003
currents	222003357	103
curvature	000012446	012
curve	131112254	112
curved	002133335	012
curves	111035566	013
cutoff	111102247	002
cycle	000000347	002
cyclotron	241154432	121
cylinder	000102346	002
cylinders	010011356	002
cylindrical	000113458	013
d	010113578	013
damage	201013344	002
damped	011155534	022
damping	121133657	013
dark	000000026	001
data	010012368	003
dc	011134546	013
de	110122477	013
debye	211334455	122
decay	221223557	113
decaying	000011347	002
decays	100002458	003
decoherence	000000147	002
decomposition	000245866	023
deconfinement	000031147	012
decoupling	011202356	013
deep	065677767	233
deeply	001110366	003
defect	001156667	023
defects	000135777	014
deficient	000113424	012
deformation	000012336	002
deformations	010102446	002
deformed	111123467	013
degeneracy	221112355	112
degenerate	210234476	013
degree	000011146	002
degrees	001124446	012
delay	000011466	003
delayed	000112345	012
delocalization	000013355	012
demonstration	000011237	002
dendritic	000064634	022
dense	001134467	013
densities	134566677	134
density	000133458	013
dependence	012236668	023
dependent	001123468	013
dephasing	000011257	003
depinning	000013464	013
depletion	000011345	002
depolarization	111324224	011
deposited	000125544	012
deposition	000025666	013
depth	000024555	013
der	112133467	013
derivation	222464445	122
derivative	001122234	012
derived	001133555	012
description	011124668	013
design	000000136	002
desorption	001457664	033
destruction	021133557	013
detachment	112235653	022
detailed	001112354	012
detected	000146465	023
detecting	000010236	002
detection	000012247	002
detector	000012236	002
detectors	000011247	002
determination	000145656	023
determined	121226645	023
determining	011013436	012
deterministic	000013357	012
deuterium	242455663	122
deuteron	552564554	232
deuterons	644212110	210
development	001231236	012
deviations	132233246	112
device	000011236	002
devices	000001248	002
diagonal	013222556	113
diagonalization	000024545	012
diagram	000124578	014
diagrams	012233556	013
diamagnetic	121135434	112
diamond	000015656	013
diatomic	022235637	113
dichroism	000005766	013
dicke	011001325	002
dielectric	011123467	013
dielectrics	011012544	002
dielectronic	000264431	021
difference	421133447	113
differences	223223524	112
different	000012346	002
differential	022135456	013
diffraction	011245668	023
diffractive	032101533	102
diffuse	011133557	013
diffusion	000135778	024
diffusive	000012457	003
dilaton	000003744	002
dilepton	001124646	013
dilute	352222166	212
diluted	000123255	012
dimension	011255777	024
dimensional	001135678	014
dimensionality	012433346	022
dimensions	001234466	013
dimer	000013557	013
dimers	000003557	003
dinger	001236767	024
diode	000123435	012
diodes	110012455	002
dioxide	121122346	012
dipolar	011012347	003
dipole	000124567	013
dipoles	100121236	002
dirac	001232236	012
direct	011234568	013
directed	000013467	013
direction	111013346	012
directional	132136455	112
dirty	120013243	001
discharge	110224575	013
discharges	011137554	022
discrete	000012466	003
disk	000002356	002
