0.05	36983	-2.996	10.518	20.224
1.05	116319	0.049	11.664	15.504
2.05	153137	0.718	11.939	14.467
3.05	165375	1.115	12.016	13.852
4.05	162547	1.399	11.999	13.412
5.05	154121	1.619	11.945	13.071
6.05	142062	1.8	11.864	12.790
7.05	128997	1.953	11.768	12.553
8.05	118236	2.086	11.68	12.347
9.05	107993	2.203	11.59	12.165
10.05	97748	2.308	11.49	12.003
11.05	90344	2.402	11.411	11.857
12.05	82722	2.489	11.323	11.722
13.05	77233	2.569	11.255	11.598
14.05	71605	2.643	11.179	11.483
15.05	66859	2.711	11.11	11.378
16.05	62223	2.776	11.038	11.277
17.05	58168	2.836	10.971	11.184
18.05	54374	2.893	10.904	11.096
19.05	51509	2.947	10.85	11.012
20.05	47863	2.998	10.776	10.933
21.05	45085	3.047	10.716	10.857
22.05	43047	3.093	10.67	10.786
23.05	40732	3.138	10.615	10.716
24.05	39332	3.18	10.58	10.651
25.05	37114	3.221	10.522	10.587
26.05	35464	3.26	10.476	10.527
27.05	33549	3.298	10.421	10.468
28.05	32069	3.334	10.376	10.412
29.05	30648	3.369	10.33	10.358
30.05	29057	3.403	10.277	10.305
31.05	28741	3.436	10.266	10.254
32.05	26979	3.467	10.203	10.206
33.05	26138	3.498	10.171	10.158
34.05	25138	3.528	10.132	10.112
35.05	24362	3.557	10.101	10.067
36.05	23189	3.585	10.051	10.023
37.05	22357	3.612	10.015	9.981
38.05	21726	3.639	9.986	9.940
39.05	20809	3.665	9.943	9.899
40.05	20176	3.69	9.912	9.861
41.05	19589	3.715	9.883	9.822
42.05	19095	3.739	9.857	9.785
43.05	18640	3.762	9.833	9.749
44.05	18186	3.785	9.808	9.713
45.05	17795	3.808	9.787	9.678
46.05	16901	3.83	9.735	9.644
47.05	16659	3.851	9.721	9.611
48.05	16051	3.872	9.684	9.578
49.05	15594	3.893	9.655	9.546
50.05	14961	3.913	9.613	9.515
51.05	14678	3.933	9.594	9.484
52.05	14295	3.952	9.568	9.454
53.05	14041	3.971	9.55	9.425
54.05	13945	3.99	9.543	9.396
55.05	13248	4.008	9.492	9.368
56.05	12929	4.026	9.467	9.340
57.05	12457	4.044	9.43	9.312
58.05	12336	4.061	9.42	9.285
59.05	12157	4.078	9.406	9.259
60.05	11902	4.095	9.384	9.233
61.05	11479	4.112	9.348	9.206
62.05	11245	4.128	9.328	9.182
63.05	11030	4.144	9.308	9.157
64.05	10661	4.16	9.274	9.132
65.05	10632	4.175	9.272	9.109
66.05	10344	4.19	9.244	9.086
67.05	10096	4.205	9.22	9.062
68.05	9910	4.22	9.201	9.039
69.05	9628	4.235	9.172	9.016
70.05	9566	4.249	9.166	8.994
71.05	9330	4.263	9.141	8.972
72.05	9156	4.277	9.122	8.951
73.05	9047	4.291	9.11	8.929
74.05	8505	4.305	9.048	8.907
75.05	8543	4.318	9.053	8.887
76.05	8447	4.331	9.042	8.867
77.05	8171	4.344	9.008	8.847
78.05	7948	4.357	8.981	8.827
79.05	7813	4.37	8.964	8.807
80.05	7862	4.383	8.97	8.786
81.05	7693	4.395	8.948	8.768
82.05	7633	4.407	8.94	8.749
83.05	7540	4.419	8.928	8.731
84.05	7402	4.431	8.91	8.712
85.05	7173	4.443	8.878	8.693
86.05	7106	4.455	8.869	8.675
87.05	7026	4.466	8.857	8.658
88.05	6796	4.478	8.824	8.639
89.05	6842	4.489	8.831	8.622
90.05	6670	4.5	8.805	8.605
91.05	6469	4.511	8.775	8.588
92.05	6366	4.522	8.759	8.571
93.05	6239	4.533	8.739	8.554
94.05	6127	4.544	8.72	8.537
95.05	6133	4.554	8.721	8.521
96.05	5868	4.565	8.677	8.504
97.05	5788	4.575	8.664	8.489
98.05	5783	4.585	8.663	8.473
99.05	5730	4.596	8.653	8.456
100.05	5595	4.606	8.63	8.441
101.05	5566	4.616	8.624	8.425
102.05	5324	4.625	8.58	8.411
103.05	5321	4.635	8.579	8.396
104.05	5364	4.645	8.587	8.380
105.05	5184	4.654	8.553	8.366
106.05	5052	4.664	8.528	8.351
107.05	5235	4.673	8.563	8.337
108.05	5040	4.683	8.525	8.321
109.05	4798	4.692	8.476	8.307
110.05	4920	4.701	8.501	8.293
111.05	4836	4.71	8.484	8.280
112.05	4793	4.719	8.475	8.266
113.05	4788	4.728	8.474	8.252
114.05	4809	4.737	8.478	8.238
115.05	4583	4.745	8.43	8.225
116.05	4634	4.754	8.441	8.211
117.05	4437	4.763	8.398	8.197
118.05	4380	4.771	8.385	8.185
119.05	4359	4.78	8.38	8.171
120.05	4283	4.788	8.362	8.159
121.05	4295	4.796	8.365	8.146
122.05	4221	4.804	8.348	8.134
123.05	4163	4.813	8.334	8.120
124.05	4009	4.821	8.296	8.107
125.05	4070	4.829	8.311	8.095
126.05	4062	4.837	8.309	8.083
127.05	4052	4.845	8.307	8.070
128.05	3851	4.852	8.256	8.059
129.05	3836	4.86	8.252	8.047
130.05	3846	4.868	8.255	8.035
131.05	3835	4.876	8.252	8.022
132.05	3696	4.883	8.215	8.011
133.05	3759	4.891	8.232	7.999
134.05	3660	4.898	8.205	7.988
135.05	3574	4.906	8.181	7.976
136.05	3554	4.913	8.176	7.965
137.05	3328	4.92	8.11	7.954
138.05	3443	4.928	8.144	7.942
139.05	3426	4.935	8.139	7.931
140.05	3372	4.942	8.123	7.920
141.05	3478	4.949	8.154	7.909
142.05	3296	4.956	8.1	7.898
143.05	3283	4.963	8.097	7.887
144.05	3236	4.97	8.082	7.877
145.05	3224	4.977	8.078	7.866
146.05	3221	4.984	8.077	7.855
