bounded	111322356	000011
bounds	242233567	000011
box	000002256	000001
br	222326565	000111
bragg	000011477	000011
branching	110122236	000001
brane	000000074	000010
branes	000000376	000011
breakdown	221223456	000011
breaking	011223666	000011
breakup	010223465	000011
breathing	000012327	000001
bremsstrahlung	564555543	111110
bright	000001346	000001
brillouin	233556544	001100
broadband	000012127	000001
broadened	132453533	001000
broadening	445456666	111111
broken	443323566	100011
brownian	000112336	000001
bubble	000113558	000011
bubbles	000023367	000011
bulk	001123457	000011
bundles	000000174	000011
burning	000034544	000110
bursts	000001256	000001
c	223236765	000111
ca	112135677	000111
cabibbo	222213323	000000
cacu	000016854	000111
cadmium	442111100	100000
caf	652255332	100100
calcium	452345356	100101
calculated	132255445	000111
calculating	212344445	000011
calculation	344457656	001111
calculations	011123347	000001
can	001112457	000011
canonical	011224455	000011
capacitance	000024435	000001
capacity	122233457	000011
capillary	000012457	000011
capture	456767766	111111
carbide	010012456	000011
carbon	000001256	000001
carlo	000246668	000111
carrier	010123457	000011
carriers	121145447	000101
cascade	111123456	000011
cascades	011123345	000001
case	001123357	000011
casimir	000000136	000001
cation	101132446	000011
causality	222133567	000111
caused	010114656	000111
cavities	000001358	000011
cavity	000011347	000001
cd	221267754	001110
cds	573334522	100100
cdse	110024458	000011
cdte	000065423	000100
ce	010125565	000111
cell	000012337	000001
cells	000011247	000001
cellular	000025556	000111
center	443366557	001111
centered	411255434	000100
centers	653347645	100111
central	013343666	000011
cerium	664746445	111111
cern	000000224	000001
cesium	333334534	000000
cf	232111332	000000
ch	023655655	001111
chain	001134668	000111
chains	000112557	000011
change	110123457	000011
changes	111224656	000111
changing	000233446	000011
channel	121123557	000011
channeling	233364554	001110
channels	001122357	000011
chaos	000125764	000111
chaotic	000013664	000011
character	011134467	000111
characteristic	222114656	000011
characteristics	011125567	000111
characterization	000012357	000011
charge	122344578	000111
charged	122334678	000111
charges	132433456	000011
charging	000013646	000011
charm	003222537	000011
charmed	006211211	010000
charmonium	002113456	000011
chemical	000123457	000011
chemisorbed	002552110	001000
chemisorption	015664322	011100
chern	000016434	000100
chiral	010134677	000111
chirality	000000136	000001
chloride	633235421	100100
cholesteric	021421332	000000
chromium	533343333	100000
chromodynamics	003410000	000000
circuit	000000127	000001
circular	010014667	000111
circularly	110013444	000011
cl	233344767	000111
class	012233455	000011
classical	112334568	000111
classification	102132234	000001
clean	011235545	000101
clock	000011135	000001
cloning	000000155	000001
close	111134677	000111
closed	121235477	000111
cloud	000011344	000001
cluster	001235568	000111
clustering	000011247	000001
clusters	000024577	000111
cm	122322125	000001
cmb	000000036	000001
cn	122133456	000011
co	011124578	000111
coalescence	000002456	000011
coarsening	000001675	000011
cobalt	211113347	000001
coefficient	243235456	000111
coefficients	442154666	000111
coexistence	001112357	000011
coherence	000123467	000011
coherent	011123468	000011
coherently	000013356	000011
cohesive	021144444	000101
coincidence	142233365	000011
cold	000001358	000011
collapse	000013587	000011
collective	111234667	000111
collider	000011226	000001
colliders	000023665	000011
colliding	043444575	000111
collinear	000011146	000001
collision	232455565	001111
collisional	224555657	001111
collisionless	142212555	000011
collisions	124456778	001111
colloidal	000001457	000011
colloids	000001235	000001
color	001112478	000011
colored	100166223	000100
colossal	000000274	000011
columnar	000002643	000010
combination	012212236	000001
combined	000102257	000011
commensurate	000544433	001000
comment	012366776	001111
comments	266320000	010000
communication	000000146	000001
compact	000002346	000001
comparative	000112446	000001
comparison	123345557	000111
compensation	101111457	000011
competing	000123357	000011
competition	000012357	000011
complete	000122365	000011
complex	010112358	000011
complexes	000123456	000011
complexity	000001356	000011
component	112333357	000011
components	122223467	000011
composite	111334767	000111
composites	000124665	000111
composition	011234576	000011
compound	111243567	000011
compounds	134577566	011111
compressed	000111326	000001
compressibility	111112352	000000
compressible	010102355	000011
compression	000101367	000011
compton	364223567	110011
computation	000001257	000001
computational	000001246	000001
computer	001234564	000111
computing	000000155	000001
concentrated	001313334	000001
concentration	122245567	000111
condensate	000000267	000011
condensates	000000278	000011
condensation	001002467	000011
condensed	012233765	000011
condition	121122457	000011
conditions	111123468	000011
conductance	000014567	000011
conducting	010134667	000111
conduction	333345556	000111
conductivity	232346677	000111
conductor	001335556	000111
conductors	001133655	000011
cone	030012345	000011
configuration	222335567	000111
configurations	212334667	000111
confined	000013568	000011
confinement	001113667	000011
confining	001112334	000000
conformal	021133557	000011
conjecture	011225634	000110
conjugated	000012564	000011
connected	000113526	000001
connection	122244466	000111
consequences	232244546	000111
conservation	364444646	010111
conserved	522124456	000011
conserving	201223545	000011
consistency	341323457	000011
consistent	244546657	001111
constant	222334467	000111
constants	674365757	111111
constituent	012115665	000111
constrained	000012357	000011
