word,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009
ads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,58,55,38,38,33,40,55,55,38,100,66
adsorbate,0,5,0,0,0,0,5,16,11,11,11,27,5,22,38,22,44,44,50,50,50,83,100,50,66,38,44,83,77,61,50,77,16,61,72,55,55,83,77,72,55,38,33,55,72
adsorbates,0,0,0,0,0,0,0,0,0,30,0,20,0,0,0,40,10,20,60,40,30,0,60,40,20,70,30,60,100,50,20,30,40,60,80,40,20,50,30,70,40,30,60,70,70
adsorbed,2,2,0,2,5,15,15,5,17,17,12,17,40,35,37,47,70,55,42,75,72,65,65,72,82,50,47,47,100,62,82,62,57,85,57,62,55,52,55,62,60,45,72,80,62
adsorption,0,0,0,1,0,1,1,2,4,6,2,6,4,6,6,9,20,9,14,17,19,26,38,26,44,30,38,53,61,53,57,61,52,52,71,50,71,78,75,61,100,90,69,78,76
ag,0,8,11,5,10,8,4,10,9,13,25,15,19,18,9,18,32,16,30,36,32,44,53,44,61,70,68,67,74,74,67,82,63,69,75,54,96,79,84,63,100,83,73,84,59
aggregates,0,0,0,0,0,0,0,0,0,7,7,7,0,7,0,0,7,7,23,53,69,76,92,38,100,92,30,92,61,84,30,76,46,46,61,30,69,53,53,69,69,69,23,30,53
aggregation,0,0,0,3,3,3,3,3,0,0,3,3,3,0,0,0,3,6,31,51,93,48,79,58,100,68,62,82,55,86,89,51,51,51,65,62,68,68,68,68,65,82,65,86,58
aging,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,3,0,10,3,6,3,13,3,20,10,31,37,17,51,58,62,96,100,86,75,96,62,58
aharonov,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5,5,14,5,5,20,29,26,38,26,32,35,23,29,67,79,79,50,58,44,47,50,47,100,55,79,70,58,88,70,67
air,3,0,10,14,25,25,10,17,3,10,3,7,7,0,10,3,3,17,17,3,17,10,7,14,21,21,7,25,21,25,10,25,42,14,53,42,57,64,60,60,71,100,78,92,67
al,0,4,2,8,10,5,6,13,16,7,10,10,11,13,17,17,26,19,20,27,40,50,63,90,84,79,92,92,96,100,88,88,74,86,83,84,76,83,74,73,86,76,79,61,63
alas,0,0,0,0,0,0,0,2,2,2,0,0,2,12,2,0,2,2,0,0,14,18,37,58,95,64,75,68,100,100,70,58,54,47,52,41,27,31,22,16,14,10,10,12,6
alfv,44,22,11,22,55,0,11,11,11,33,55,33,22,22,22,0,22,44,22,33,44,11,22,11,44,33,33,55,66,77,77,66,44,88,66,55,44,44,55,66,88,77,88,88,100
algebra,7,33,84,100,84,36,30,28,21,13,16,4,1,3,4,3,3,7,1,0,1,9,13,0,6,10,4,9,12,10,4,1,3,6,4,6,1,7,4,1,1,1,6,1,1
algebraic,0,0,16,11,38,38,22,27,27,16,11,5,5,16,11,16,27,5,22,27,27,61,44,61,22,38,55,100,55,94,50,61,38,38,72,22,55,72,44,27,72,72,55,50,38
algorithm,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,6,2,4,4,2,6,8,21,23,17,8,19,17,32,19,32,34,45,45,43,80,73,80,86,78,89,93,91,100,78
algorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,14,9,23,14,19,47,23,38,28,14,33,23,33,52,71,95,76,47,85,61,100,57,71
aligned,5,10,0,10,5,10,15,5,5,5,5,10,20,15,5,10,5,10,15,5,30,20,35,10,15,10,30,35,50,55,65,65,35,60,70,55,85,35,45,50,65,45,75,80,100
alignment,0,5,5,16,8,2,5,13,19,11,19,16,22,11,25,11,13,16,16,8,27,27,25,22,27,47,55,19,25,38,50,38,41,41,66,50,75,50,58,58,86,88,72,88,100
alkali,35,33,43,61,53,38,66,33,30,53,28,41,5,23,25,0,17,33,10,48,71,76,38,38,84,58,64,74,100,87,71,94,58,56,35,41,25,48,51,30,43,10,20,20,28
alkaline,8,0,41,41,33,25,16,16,25,25,16,50,8,8,33,16,25,58,16,16,25,50,66,8,50,25,41,25,66,25,33,25,25,16,58,25,33,33,75,41,75,33,100,41,58
all,1,1,3,1,3,0,5,0,5,12,7,0,3,5,5,9,9,5,20,9,9,1,9,16,5,10,18,12,16,27,18,18,32,27,21,36,38,45,54,47,90,72,70,96,100
alloy,0,13,10,7,2,0,36,2,34,23,7,28,7,15,31,7,28,31,39,57,42,47,68,84,55,44,44,65,89,71,92,63,63,100,89,68,86,97,89,81,100,81,81,60,100
alloying,9,18,0,9,0,18,0,9,0,0,9,0,27,0,18,0,9,0,9,0,0,9,36,9,18,27,18,36,54,36,45,81,45,27,54,45,54,100,54,72,72,72,63,54,36
