attachment	50.49	60.94	58.83	51.76
attenuation	47.39	59.93	76.48	47.3
attosecond	44.8	62.41	82.36	46.47
attraction	31.31	48.58	52.95	32.6
attractive	49.29	68.87	64.71	53.01
attractor	36.42	48.81	58.83	39.26
attractors	45.5	60.04	52.95	45.58
au	0	79.06	47.06	8.56
auger	0	70.78	41.18	0
augmented	54.06	67.49	58.83	56.77
autocorrelation	52	48.98	58.83	50.99
autoionization	31.31	60.73	23.53	40.25
autoionizing	41.53	55.61	41.18	42.02
automata	56.41	56.66	70.59	55.32
avalanches	27.68	57.5	64.71	33.46
average	29.01	48.87	58.83	38.74
averaged	30.21	49.31	23.53	32.6
avoiding	60.22	54.62	52.95	59.45
axial	62.35	64.42	64.71	63.6
axion	37.1	54.55	52.95	40.72
axis	45.15	68.43	58.83	45.26
axisymmetric	33.25	53.12	5.89	34.25
azimuthal	27.68	61.4	35.3	35.71
ba	13.84	83.88	47.06	19.88
background	69.37	70.96	64.71	68.12
backgrounds	33.25	52.44	76.48	39.26
backscattering	34.93	58.26	17.65	38.19
backward	44.8	64.68	52.95	47.83
bag	62.53	68.97	64.71	61.99
balance	34.12	48.87	52.95	35.71
ballistic	51.59	73.76	70.59	57.26
band	83.3	86.98	58.83	84.17
bands	57.77	72.58	52.95	59.35
bandwidth	37.74	47.34	47.06	37.01
bang	56.7	61.05	64.71	55.87
bare	40.56	58.05	29.42	47.3
barium	35.7	55.41	17.65	36.38
barrier	67.49	73.04	41.18	67.13
barriers	41.53	60.57	41.18	47.83
baryogenesis	40.56	57.72	58.83	42.02
baryon	45.83	72.93	70.59	58.73
baryons	50.26	68.38	47.06	56.77
based	55.52	78.77	58.83	67.77
basic	17.46	45.45	58.83	22.13
basis	52.79	64.47	52.95	52.31
bath	44.43	65.01	70.59	48.33
batio	0	57.81	58.83	0
bcc	45.15	62.38	41.18	53.83
bcs	0	69.71	64.71	0
beam	69.37	72.05	41.18	73.1
beams	54.23	68.01	58.83	59.25
beats	49.29	62.02	41.18	52.31
bec	0	67.88	88.24	0
bedt	0	68.3	70.59	0
behavior	73.37	83.52	76.48	74.86
bell	0	73.46	58.83	0
below	47.68	64.25	58.83	55.03
bending	40.56	46.59	70.59	40.25
bent	52.4	55.97	82.36	51.76
berry	0	65.83	58.83	0
beryllium	26.2	52.9	70.59	31.69
beta	68.57	71.96	47.06	68.22
bethe	0	64.72	58.83	0
bev	0	60.94	47.06	0
beyond	45.15	68.31	70.59	58.3
bi	29.01	85.05	35.3	29.62
bianchi	0	53.22	52.95	0
bias	58.27	68.76	76.48	58.07
biased	51.38	61.63	58.83	51.19
biaxial	37.1	58.59	52.95	42.82
bifurcation	37.1	55.97	76.48	42.43
bifurcations	26.2	51.25	76.48	33.46
bilayer	52.2	74.04	82.36	53.51
bilayers	42.85	65.31	76.48	53.83
billiard	29.01	58.71	64.71	38.19
billiards	40.04	63.46	64.71	47.03
binaries	54.89	72.45	76.48	55.73
binary	61.04	73.93	52.95	67.51
binding	75.99	73.88	52.95	74.57
biological	32.32	48.64	76.48	39.77
bipartite	33.25	61.57	94.12	42.02
birefringence	32.32	50.42	47.06	36.38
bis	49.78	57.76	52.95	49.28
bismuth	36.42	58.73	64.71	46.47
bistability	60.22	64.75	70.59	60.23
bistable	49.54	61.86	64.71	50.38
black	88.53	88.54	52.95	87.31
blende	68.13	60.97	29.42	66.81
bloch	0	63.34	47.06	0
block	42.43	48.23	52.95	41.6
blockade	41.98	73.23	58.83	54.29
blue	47.39	57.72	58.83	48.58
bodies	32.32	48.17	17.65	32.6
body	64.49	76.04	70.59	68.51
bogoliubov	0	61.14	35.3	0
bohm	8.73	71.8	70.59	8.56
boltzmann	0	72.49	58.83	0
bombardment	55.52	55.99	58.83	56.26
bond	62.88	72.78	47.06	62.93
bonded	53.88	57.85	41.18	53.18
bonding	46.79	66.32	58.83	54.29
bonds	33.25	54.14	64.71	41.17
