	0	0	0	0
auto	0	53.51	99.84	0
autobahn	0	23.61	99.95	0
autofahrer	0	27.4	99.92	0
autoindustrie	17.48	60.82	99.96	17.48
automobilindustrie	0	43.91	99.92	0
autor	0	43.43	99.95	0
autoren	0	39.48	99.92	0
autorin	0	27.4	99.96	0
autorität	0	18.27	99.95	0
autos	0	48.94	99.87	0
außen	0	34.78	99.92	0
außenminister	0	47.59	99.89	0
außenpolitik	0	44.82	99.89	0
außenseiter	0	18.27	99.89	0
avantgarde	0	32.75	99.95	0
baby	0	33.8	99.86	0
bach	0	32.75	99.87	0
bad	0	37.34	99.93	0
baden	27.86	58.55	99.93	27.86
bagdad	0	49.26	99.96	0
bahn	22.58	58.55	99.9	22.58
balance	0	25.64	99.9	0
balkan	0	21.21	99.98	0
ball	40.33	25.64	99.92	44.47
ballett	0	21.21	99.95	0
band	19.46	38.8	99.91	19.46
bank	7.52	69.36	99.89	7.52
banken	15.05	81.66	99.82	15.05
bankrott	7.52	45.25	99.95	7.52
bankschalter	0	0	99.99	0
barbara	0	30.34	99.98	0
basel	0	25.64	99.91	0
basis	0	35.69	99.91	0
bau	11.93	25.64	99.9	11.93
bauch	0	27.4	99.89	0
bauen	19.46	41.88	99.89	22.58
bauer	0	9.13	99.91	0
bauern	0	33.8	99.91	0
baum	0	14.47	99.89	0
baut	26.04	34.78	99.9	26.04
bayer	0	60.82	99.92	0
bayerische	17.48	18.27	99.92	17.48
bayern	0	68.29	99.93	0
bayreuth	0	44.38	99.89	0
beamte	0	59.73	99.93	0
beamten	0	14.47	99.93	0
beben	7.52	48.61	99.96	7.52
becker	17.48	42.94	99.91	17.48
bedeutet	25.01	43.91	99.92	31.39
bedingungen	0	74.9	99.9	0
bedroht	26.04	38.8	99.93	28.66
beendet	26.99	46.47	99.93	28.66
beethoven	0	0	99.95	0
befreit	23.86	23.61	99.96	23.86
befreiung	0	23.61	99.92	0
begann	30.11	34.78	99.92	30.11
begegnung	0	25.64	99.95	0
beginn	0	25.64	99.96	0
beginnen	29.41	34.78	99.87	33.06
beginnt	31.39	42.94	99.89	36.57
begonnen	26.04	31.6	99.9	26.04
begriff	0	25.64	99.98	0
behinderte	7.52	23.61	99.89	7.52
behörden	0	45.25	99.93	0
beine	0	23.61	99.9	0
beirut	0	35.69	99.98	0
beitrag	0	35.69	99.95	0
beitritt	0	47.94	99.95	0
bekommen	23.86	40.73	99.9	26.04
bekommt	29.41	51.29	99.92	29.41
belgien	0	33.8	99.89	0
belgrad	0	9.13	99.95	0
belletristik	7.52	32.75	99.95	7.52
ben	56.16	50.74	99.98	59.62
benz	0	21.21	99.98	0
benzin	0	23.61	99.95	0
berater	0	30.34	99.93	0
bereit	35.79	60.56	99.95	35.79
berg	15.05	33.8	99.92	15.05
berge	0	9.13	99.92	0
bergen	26.04	23.61	99.98	26.04
bericht	34.05	45.25	99.89	34.05
berichte	0	18.27	100	0
berichten	33.06	34.78	99.95	33.06
berichtet	30.11	28.95	99.96	31.39
berlin	0	71.2	99.89	0
berlinale	0	50.17	99.95	0
berliner	7.52	54.18	99.93	7.52
berlins	0	42.94	99.95	0
berlusconi	0	71.14	99.98	0
bernd	0	33.8	99.87	0
bernhard	0	21.21	99.99	0
beruf	0	34.78	99.83	0
beschließt	0	70.47	99.96	0
beschreibt	31.98	9.13	99.93	31.98
beschäftigt	0	23.61	99.93	0
bessere	31.39	37.34	99.85	31.39
besseren	26.99	25.64	99.91	26.99
beste	21.13	44.38	99.87	23.86
bestimmen	27.86	21.21	99.9	30.77
bestimmt	29.41	27.4	99.91	29.41
bestseller	0	33.8	99.98	0
bestätigt	0	60.42	99.93	0
besuch	0	50.46	99.91	0
besucht	26.99	30.34	99.95	35.79
beten	23.86	25.64	99.89	23.86
beton	0	28.95	99.89	0
betrachtet	58.28	21.21	99.98	58.28
betrug	7.52	30.34	99.86	7.52
bett	0	30.34	99.86	0
betten	11.93	18.27	99.87	11.93
bevor	32.53	31.6	99.93	38.61
bevölkerung	0	34.78	99.93	0
bewegt	28.66	39.48	99.9	28.66
bewegung	0	40.12	99.91	0
bezahlen	23.86	33.8	99.9	23.86
bezahlt	19.46	28.95	99.9	19.46
beziehungen	7.52	38.09	99.89	7.52
bibel	0	23.61	99.86	0
bier	17.48	27.4	99.89	17.48
biermann	0	27.4	99.92	0
bieten	25.01	42.94	99.95	25.01
bietet	21.13	36.54	99.91	26.99
big	11.93	32.75	99.89	11.93
bilanz	0	41.32	99.92	0
bild	0	44.38	99.9	0
bilder	0	47.94	99.93	0
bildern	0	31.6	99.92	0
bildung	7.52	47.23	99.85	7.52
bildungspolitik	0	28.95	99.96	0
bill	0	21.21	99.98	0
billig	21.13	34.78	99.87	23.86
billiger	21.13	37.34	99.89	26.99
biografie	11.93	40.12	99.93	11.93
biographie	0	0	99.95	0
bischof	0	39.48	99.92	0
bismarck	0	9.13	99.9	0
bisschen	21.13	46.08	99.95	21.13
bitte	26.04	53.74	99.87	26.04
bitten	19.46	21.21	99.95	19.46
bittere	21.13	21.21	99.91	21.13
bißchen	0	0	99.91	0
blau	17.48	23.61	99.93	19.46
blaue	22.58	18.27	99.92	22.58
bleiben	31.39	56.9	99.92	34.51
bleibt	37.64	67.76	99.95	40.85
blick	0	47.94	99.92	0
blickt	25.01	25.64	99.95	25.01
blieb	26.04	28.95	99.89	26.04
blind	17.48	18.27	99.93	17.48
blockade	0	35.69	99.92	0
bloß	0	59.73	99.87	0
blumen	11.93	25.64	99.92	11.93
blut	0	36.54	99.95	0
blutige	21.13	21.21	99.91	21.13
blüm	0	14.47	99.95	0
bmw	0	34.78	99.87	0
bnd	15.05	53.96	99.98	15.05
bochum	0	41.88	99.89	0
boden	0	31.6	99.93	0
bologna	0	31.6	0	0
bombe	0	37.34	99.9	0
bomben	15.05	30.34	99.91	15.05
bonn	0	30.34	99.86	0
bonner	0	25.64	99.9	0
bonns	0	0	99.93	0
boom	0	27.4	99.89	0
boot	0	18.27	99.92	0
bord	0	27.4	99.89	0
boris	0	27.4	99.99	0
borussia	0	62.98	99.99	0
bosnien	0	25.64	100	0
bosse	0	35.69	99.93	0
botschaft	0	33.8	99.89	0
botschafter	0	34.78	99.91	0
boykott	0	42.42	99.89	0
brachte	19.46	21.21	99.98	19.46
branche	0	27.4	99.95	0
brandenburg	0	37.34	99.93	0
brandt	0	30.34	99.91	0
brasilien	11.93	48.28	99.92	11.93
brauchen	31.98	59.88	99.93	31.98
braucht	34.05	66.97	99.85	39.51
braune	23.86	47.23	99.9	23.86
brechen	23.86	35.69	99.9	26.99
brecht	0	0	99.95	0
bremen	0	64.55	99.91	0
bremer	0	33.8	99.93	0
bremsen	23.86	33.8	99.98	23.86
brennen	23.86	9.13	99.96	25.01
brennpunkt	0	9.13	99.96	0
brennt	23.86	21.21	99.91	23.86
bricht	23.86	60.15	99.89	26.04
brief	0	37.34	99.89	0
briefe	0	31.6	99.92	0
bringen	31.98	53.05	99.96	33.57
bringt	34.51	52.81	99.9	39.51
briten	0	41.32	99.89	0
britische	22.58	41.88	99.93	26.99
britischen	26.04	30.34	99.92	31.39
brot	0	23.61	99.92	0
bruder	0	34.78	99.92	0
brücke	0	28.95	99.9	0
brüder	0	33.8	99.9	0
brüssel	0	62.87	99.9	0
brüsseler	0	43.43	99.95	0
bucerius	0	9.13	99.99	0
buch	30.11	55.61	99.92	30.11
buchmesse	0	50.46	99.91	0
budapest	0	25.64	99.92	0
bund	0	52.07	99.89	0
bundesbank	0	47.59	99.9	0
bundeskanzler	0	9.13	99.92	0
bundesliga	0	68.29	100	0
bundespräsident	0	67.45	99.95	0
bundespräsidenten	0	44.38	99.96	0
bundesrat	0	32.75	99.95	0
bundesregierung	0	53.05	99.91	0
bundesrepublik	0	36.54	99.9	0
bundestag	0	72.55	99.9	0
bundestagswahl	0	52.07	99.98	0
bundesverfassungsgericht	0	60.29	99.95	0
bundeswehr	0	62.98	99.9	0
bunte	11.93	14.47	99.89	15.05
bush	0	41.32	99.91	0
bÜhne	0	0	99.92	0
bäume	0	18.27	99.9	0
böll	0	9.13	99.98	0
börse	0	43.43	99.93	0
börsen	0	51.02	99.9	0
böse	0	41.32	99.92	0
bösen	0	23.61	99.9	0
böses	0	25.64	99.89	0
bücher	0	44.38	99.86	0
büchern	0	14.47	99.93	0
bühne	0	36.54	99.96	0
bündnis	0	28.95	99.91	0
bürger	0	48.61	99.91	0
bürgerkrieg	0	82.39	99.93	0
bürgermeister	0	33.8	99.95	0
bürgerschaftswahlen	0	21.21	99.99	0
büro	0	34.78	99.86	0
bürokratie	0	18.27	99.95	0
campus	22.58	25.64	99.99	22.58
cannes	0	43.91	99.86	0
carl	0	25.64	99.95	0
carter	0	28.95	99.98	0
castro	7.52	36.54	99.96	7.52
cd	0	28.95	99.95	0
cdu	30.77	67.76	99.85	30.77
champions	0	55.21	99.93	0
chance	0	53.05	99.95	0
chancen	0	35.69	99.87	0
chaos	0	41.88	99.91	0
charles	0	25.64	99.95	0
charme	0	14.47	99.93	0
chef	0	70.09	99.9	0
chefs	0	40.73	99.89	0
chemie	15.05	40.73	99.9	15.05
chile	0	27.4	99.95	0
china	15.05	71.08	99.89	15.05
chinas	0	63.63	99.95	0
chinesen	0	35.69	99.91	0
chinesische	19.46	50.17	99.89	23.86
chomeini	0	9.13	99.95	0
christen	0	34.78	99.91	0
christian	0	54.81	99.87	0
christoph	0	49.57	99.95	0
chronik	0	53.05	99.92	0
ch�	0	0	99.96	0
cia	7.52	48.28	99.9	7.52
city	0	89.62	99.95	0
claude	0	37.34	99.93	0
claus	0	34.78	99.99	0
clinton	0	42.42	99.96	0
club	0	31.6	99.79	0
co	11.93	48.94	99.9	11.93
comeback	0	34.78	99.82	0
computer	11.93	39.48	99.86	11.93
contra	19.46	44.38	99.99	23.86
corner	0	0	99.99	0
coup	0	21.21	99.92	0
csu	11.93	58.23	99.93	11.93
dach	0	27.4	99.89	0
daheim	25.01	14.47	99.89	25.01
daimler	0	42.42	99.89	0
dame	0	21.21	99.95	0
damen	0	14.47	99.93	0
daniel	0	45.67	99.89	0
danke	21.13	31.6	99.87	21.13
daten	0	57.91	99.91	0
datenschutz	0	57.25	99.95	0
david	0	53.05	99.91	0
ddr	7.52	51.29	99.96	7.52
de	46.3	59.73	99.92	50.02
debakel	0	46.08	99.9	0
debatte	11.93	65.22	99.92	11.93
del	17.48	30.34	100	17.48
demokraten	0	44.38	99.95	0
demokratie	0	57.07	99.95	0
demokratische	0	43.43	0	0
demonstranten	0	60.29	99.98	0
demonstrieren	21.13	45.67	99.95	22.58
denken	26.04	44.38	99.89	28.66
denker	0	14.47	99.95	0
denkmal	0	18.27	99.89	0
denkt	23.86	47.23	99.86	23.86
dennoch	21.13	33.8	99.95	26.04
design	0	27.4	99.84	0
deutlich	25.01	38.09	99.96	25.01
deutsch	47.59	47.23	99.95	48.99
deutsche	36.19	72.92	99.9	42.49
deutschen	41.58	75.17	99.95	46.14
deutscher	31.39	61.58	99.89	31.39
deutsches	22.58	46.85	99.93	22.58
deutschland	26.99	77.61	99.89	26.99
deutschlands	0	52.57	99.9	0
dezember	0	49.26	99.93	0
dfb	0	51.82	99.99	0
di	21.13	28.95	99.95	21.13
dialog	0	32.75	99.91	0
dichter	21.13	27.4	99.91	21.13
dichters	0	25.64	99.98	0
dichtung	0	0	99.89	0
dicke	26.04	27.4	99.89	26.04
diener	17.48	18.27	99.92	17.48
dienst	22.58	40.12	99.89	22.58
diesmal	21.13	25.64	99.98	26.04
dieter	0	38.09	99.92	0
dietrich	0	25.64	99.89	0
digitale	17.48	43.43	99.91	17.48
diktator	0	33.8	99.93	0
diktatur	0	38.8	99.92	0
dilemma	0	61.58	99.86	0
ding	0	21.21	99.9	0
dinge	0	34.78	99.93	0
diplomat	0	14.47	99.92	0
diplomaten	0	25.64	99.91	0
diplomatie	7.52	38.09	99.89	7.52
direktor	0	39.48	99.95	0
diskussion	15.05	35.69	99.93	15.05
diskutieren	26.04	60.42	99.96	26.04
distanz	0	36.54	99.91	0
doktor	0	25.64	99.89	0
dokument	0	39.48	100	0
dokumentation	0	46.85	99.95	0
dokumente	0	50.17	99.92	0
dollar	0	60.42	99.86	0
don	7.52	36.54	99.92	7.52
donnerstalk	0	18.27	99.98	0
doping	15.05	46.08	99.93	15.05
doppelte	22.58	21.21	99.89	22.58
dorf	0	30.34	99.79	0
dortmund	0	65.86	99.96	0
