	0	0	0	0
fliegt	31.39	25.64	99.92	31.39
fluch	0	27.4	99.87	0
flucht	7.52	39.48	99.89	7.52
flug	0	23.61	99.89	0
flughafen	11.93	47.23	99.98	11.93
flugzeug	0	40.12	99.82	0
flut	0	50.74	99.91	0
fluß	0	0	99.92	0
flüchtlinge	0	52.57	99.98	0
folge	11.93	39.48	99.92	11.93
folgen	23.86	53.05	99.89	23.86
folgt	21.13	37.34	99.93	21.13
folter	11.93	47.59	99.89	11.93
fonds	0	60.69	99.89	0
ford	0	14.47	99.96	0
fordern	31.98	50.74	99.95	31.98
fordert	34.05	67.84	99.93	34.51
form	0	31.6	99.93	0
formel	11.93	34.78	99.86	11.93
forscher	7.52	46.08	99.91	7.52
forschung	0	47.23	99.98	0
fort	43.12	40.73	99.87	44.47
fortschritt	0	40.73	99.92	0
forum	7.52	23.61	99.98	7.52
frage	19.46	50.17	99.9	19.46
fragen	29.41	53.96	99.91	29.41
fragt	30.77	27.4	99.96	30.77
france	0	40.73	99.96	0
frank	0	47.23	99.93	0
frankfurt	0	59.01	99.89	0
frankfurter	0	41.32	99.95	0
frankreich	17.48	76.39	99.91	17.48
frankreichs	0	55.41	99.93	0
franz	47.59	42.94	99.93	48.99
franzosen	0	39.48	99.91	0
französische	0	54.18	99.95	0
französischen	0	33.8	99.96	0
frau	0	60.15	99.89	0
frauen	0	75.17	99.85	0
frei	45.34	69.56	99.91	45.34
freiburg	0	63.63	99.95	0
freie	21.13	33.8	99.89	23.86
freien	17.48	27.4	99.89	25.01
freier	21.13	31.6	99.92	25.01
freiheit	0	57.07	99.85	0
freispruch	0	41.88	99.86	0
freitag	0	42.42	99.89	0
freizeit	0	32.75	99.95	0
fremd	21.13	30.34	99.92	29.41
fremde	17.48	27.4	99.92	22.58
fremden	27.86	23.61	99.89	27.86
fressen	11.93	14.47	99.92	11.93
freude	0	30.34	99.91	0
freund	0	41.32	99.89	0
freunde	0	50.17	99.91	0
freundschaft	0	23.61	99.91	0
friede	0	23.61	99.89	0
frieden	0	46.85	99.89	0
friedens	0	14.47	99.91	0
friedhof	0	21.21	99.93	0
friedrich	0	53.74	99.92	0
frisch	17.48	21.21	99.91	17.48
fritz	0	40.12	99.91	0
front	21.13	40.12	99.86	21.13
fronten	0	27.4	99.95	0
frust	0	27.4	99.96	0
früh	0	45.25	99.98	0
frühling	0	32.75	99.91	0
fukushima	0	72.23	99.99	0
funktioniert	25.01	38.09	99.89	25.01
funktionäre	0	18.27	99.89	0
furcht	0	34.78	99.93	0
fusion	7.52	38.09	99.89	7.52
fussball	0	39.48	99.96	0
fuß	0	14.47	99.95	0
fußball	0	65.5	99.96	0
fährt	0	28.95	99.9	0
fälle	0	40.73	99.9	0
fällt	0	48.94	99.9	0
fördern	0	31.6	99.95	0
fühlen	0	37.34	99.93	0
fühlt	0	38.09	99.91	0
führen	0	40.73	99.86	0
führer	0	33.8	99.89	0
führt	0	46.47	99.89	0
führte	0	21.21	99.95	0
führung	0	59.73	99.91	0
fünfzig	0	0	99.95	0
fürchten	0	38.09	99.91	0
fürchtet	0	61.08	99.92	0
fürs	0	49.87	99.84	0
füßen	0	21.21	99.95	0
gabriel	0	55.8	99.91	0
gadhafi	0	72.66	100	0
games	0	48.28	99.99	0
gang	29.41	27.4	99.92	29.41
garten	0	44.38	99.89	0
gas	0	33.8	99.92	0
gast	0	18.27	99.92	0
gastarbeiter	0	21.21	99.92	0
gauck	0	51.29	99.99	0
gaulle	0	14.47	99.96	0
gaza	0	66.72	99.99	0
gebaut	25.01	27.4	99.9	25.01
geben	36.57	55.99	99.9	37.97
geblieben	26.99	33.8	99.93	28.66
geboren	36.57	42.94	99.95	36.57
gebracht	23.86	23.61	99.93	26.99
geburt	7.52	21.21	99.9	15.05
geburtstag	0	36.54	99.95	0
gedacht	23.86	25.64	99.9	23.86
gedanken	0	28.95	99.9	0
gedenken	23.86	31.6	99.93	23.86
gedicht	0	43.91	99.95	0
gedichte	0	38.8	99.93	0
geduld	0	30.34	99.95	0
gedächtnis	0	14.47	99.92	0
gefahr	0	49.87	99.92	0
gefahren	11.93	14.47	99.95	11.93
gefallen	29.41	21.21	99.95	30.11
gefangen	15.05	23.61	99.92	15.05
gefecht	0	27.4	99.89	0
gefragt	29.41	59.88	99.89	29.41
gefunden	25.01	31.6	99.9	27.86
gefährdet	0	25.64	99.9	0
gefährlich	0	44.38	99.91	0
gefährliche	0	31.6	99.92	0
gefährlicher	0	23.61	99.92	0
gefängnis	0	46.85	99.89	0
gefühl	0	48.28	99.89	0
gefühle	0	27.4	99.92	0
gegangen	17.48	40.73	99.9	21.13
gegeben	22.58	30.34	99.9	26.99
gegenwart	0	31.6	99.95	0
gegner	0	51.02	99.89	0
geheimdienst	0	48.61	99.96	0
geheimdienste	0	48.61	99.96	0
geheime	19.46	36.54	99.92	22.58
geheimnis	0	27.4	99.92	0
gehirn	0	21.21	99.93	0
gehören	0	41.32	99.95	0
gehört	0	47.59	99.89	0
geiseln	0	31.6	99.93	0
geist	0	44.38	99.9	0
geister	0	18.27	99.84	0
gekommen	22.58	28.95	99.95	27.86
gelassen	23.86	27.4	99.83	23.86
gelb	11.93	62.65	99.91	17.48
gelbe	40.85	51.82	99.96	40.85
geld	36.94	75.17	99.84	36.94
geldanlage	0	28.95	99.95	0
geldes	0	28.95	99.96	0
gelernt	31.39	28.95	99.95	31.39
gelesen	26.04	18.27	99.95	26.04
gemeinsam	26.04	42.42	99.89	29.41
gemeinsame	26.04	56.9	99.95	26.04
gemeinschaft	0	47.23	99.91	0
gen	42.27	32.75	99.89	42.7
genau	21.13	59.45	99.92	31.39
gene	0	18.27	99.89	0
general	0	46.85	99.91	0
generalsekretär	0	33.8	99.96	0
generation	0	48.94	99.87	0
genf	0	9.13	99.98	0
genfer	0	21.21	99.95	0
genie	26.04	25.64	99.92	26.04
genommen	26.04	27.4	99.93	26.99
genosse	0	0	99.91	0
genossen	11.93	31.6	99.89	11.93
genscher	0	14.47	99.91	0
gentechnik	17.48	40.12	99.87	17.48
genügt	0	9.13	99.95	0
georg	0	42.94	99.93	0
george	0	28.95	99.93	0
georgien	0	32.75	100	0
geplant	23.86	34.78	99.89	25.01
geraten	31.39	31.6	99.9	34.05
gerd	0	14.47	99.99	0
gerecht	29.41	39.48	99.89	29.41
gerechtigkeit	0	36.54	99.89	0
gerettet	21.13	33.8	99.93	23.86
gerhard	0	33.8	99.91	0
gericht	0	56.18	99.95	0
germany	0	9.13	99.86	0
gerne	23.86	37.34	99.89	27.86
gerät	0	35.69	99.98	0
gerüchte	0	59.59	99.85	0
geschah	21.13	40.73	99.95	21.13
gescheitert	32.53	43.43	99.86	32.53
geschenk	0	25.64	99.9	0
geschichte	0	62.65	99.89	0
geschichten	0	32.75	99.85	0
geschieht	22.58	18.27	99.96	22.58
geschlossen	22.58	31.6	99.85	22.58
geschrieben	31.98	18.27	99.95	40.85
geschäft	0	47.23	99.89	0
geschäfte	0	36.54	99.91	0
gesehen	38.92	39.48	99.96	38.92
gesellschaft	11.93	56.54	99.89	11.93
gesetz	17.48	48.28	99.9	17.48
gesetze	0	46.08	99.91	0
gesetzt	32.53	30.34	99.95	32.53
gesicht	0	39.48	99.89	0
gesichter	0	18.27	99.92	0
gespenst	0	18.27	99.9	0
gesprÄch	0	0	99.96	0
gespräch	0	41.88	99.98	0
gespräche	0	39.48	99.99	0
gestellt	26.04	38.09	99.95	27.86
gestern	25.01	33.8	99.92	25.01
gestorben	25.01	46.08	99.93	31.98
gesucht	26.99	36.54	99.83	27.86
gesund	23.86	28.95	99.93	23.86
gesundheit	0	37.34	99.92	0
gesundheitsreform	0	46.08	99.98	0
gesundheitswesen	0	30.34	99.96	0
getan	26.04	30.34	99.9	26.04
getötet	0	43.91	99.95	0
gewalt	0	62.53	99.91	0
gewerkschaft	11.93	23.61	99.89	11.93
gewerkschaften	0	36.54	99.92	0
gewinn	0	48.61	99.93	0
gewinne	0	60.01	99.89	0
gewinnen	25.01	48.94	99.86	27.86
gewinner	0	39.48	99.92	0
gewinnt	28.66	51.02	100	28.66
gewissen	15.05	35.69	99.87	15.05
gewonnen	34.51	30.34	99.92	37.64
gewählt	0	27.4	99.98	0
gier	0	36.54	99.89	0
gift	0	28.95	99.85	0
gilt	37.29	40.73	99.95	38.61
gipfel	11.93	80.4	99.84	11.93
gipfeltreffen	0	33.8	99.92	0
glanz	0	21.21	99.92	0
glas	0	18.27	99.92	0
glaube	25.01	38.09	99.9	25.01
glauben	28.66	46.08	99.89	28.66
glaubt	19.46	43.91	99.9	21.13
globale	17.48	42.94	99.96	17.48
globalisierung	15.05	35.69	99.93	15.05
glosse	0	14.47	99.96	0
glück	0	45.67	99.83	0
glücklich	0	35.69	99.89	0
gm	0	61.95	100	0
gnade	0	28.95	99.91	0
goethe	19.46	34.78	99.92	19.46
gold	23.86	40.12	99.91	23.86
goldene	26.99	35.69	99.92	26.99
goldenen	19.46	34.78	99.93	19.46
golf	0	46.08	99.92	0
google	0	66.03	99.98	0
gorbatschow	0	37.34	99.99	0
gottes	0	31.6	99.91	0
grab	0	18.27	99.95	0
graf	0	49.26	99.93	0
grand	0	23.61	99.9	0
grass	0	43.43	99.92	0
graue	15.05	9.13	99.9	15.05
grauen	17.48	28.95	99.92	17.48
greifen	23.86	34.78	99.89	23.86
greift	25.01	36.54	99.89	25.01
grenze	0	51.02	99.91	0
grenzen	0	45.25	99.9	0
griechen	0	74.54	99.98	0
griechenland	0	97.62	99.99	0
griechische	17.48	70.66	99.93	17.48
griff	31.39	23.61	99.89	31.39
großbritannien	0	55.01	99.87	0
grund	0	27.4	99.91	0
grundgesetz	0	23.61	99.92	0
gruppe	0	63.09	99.93	0
gräfin	0	14.47	99.95	0
größe	0	23.61	99.87	0
größer	0	25.64	99.92	0
größte	0	59.73	99.93	0
größten	0	34.78	99.96	0
grün	0	56.36	99.85	0
gründe	0	33.8	99.9	0
gründer	0	51.29	99.95	0
grüne	0	63.63	99.85	0
grünen	0	63.63	99.91	0
grüner	0	37.34	99.87	0
grünes	0	27.4	99.93	0
guant�	0	0	100	0
guide	0	89.62	100	0
guten	37.29	47.59	99.89	37.29
guttenberg	0	64.65	99.98	0
gäste	0	25.64	99.9	0
götter	0	14.47	99.89	0
günter	0	39.48	99.9	0
günther	0	35.69	99.93	0
hacker	0	44.82	99.96	0
hafen	0	21.21	99.9	0
haft	0	46.08	99.93	0
haiti	0	43.43	99.98	0
halb	34.51	9.13	99.91	34.51
halbe	34.05	35.69	99.92	36.19
halt	22.58	31.6	99.92	22.58
halten	32.53	55.99	99.86	35.38
haltung	0	31.6	99.93	0
hamas	0	52.32	99.96	0
hamburg	0	59.3	99.9	0
hamburger	0	60.29	99.9	0
hammer	0	18.27	99.93	0
hand	7.52	37.34	99.85	7.52
handel	0	31.6	99.86	0
handeln	23.86	54.18	99.95	23.86
handke	0	44.38	99.95	0
handy	0	41.88	99.95	0
hannover	0	63.53	99.87	0
hans	0	45.67	99.92	0
harmonie	0	25.64	99.92	0
harry	0	40.12	99.92	0
hart	37.29	60.82	99.89	39.22
harte	26.04	39.48	99.89	26.04
harten	19.46	23.61	99.87	21.13
hartz	34.05	74.95	99.93	35.38
hass	0	32.75	99.93	0
hauch	0	21.21	99.87	0
hauptsache	0	25.64	99.89	0
hauptstadt	0	27.4	99.93	0
hauptstädten	0	0	99.96	0
haus	0	44.82	99.89	0
hause	0	34.78	99.9	0
haushalt	15.05	45.67	99.9	15.05
haut	23.86	34.78	99.87	23.86
haß	0	0	99.93	0
heile	17.48	21.21	99.95	17.48
heilige	17.48	21.21	99.91	17.48
heiligen	17.48	28.95	99.9	17.48
heiliger	0	21.21	99.91	0
heim	36.19	27.4	99.91	36.19
heimat	0	38.09	99.87	0
heimkehr	0	27.4	99.95	0
heimliche	19.46	46.47	99.95	19.46
heine	0	0	100	0
heiner	0	23.61	99.96	0
heinrich	0	39.48	99.95	0
heinz	0	43.43	99.91	0
heiß	0	30.34	99.89	0
heiße	0	25.64	99.89	0
heißen	0	23.61	99.89	0
heißer	0	21.21	99.87	0
heißt	0	46.47	99.96	0
held	0	43.91	99.79	0
helden	0	44.38	99.89	0
helfen	34.96	51.02	99.92	34.96
helfer	0	58.23	99.89	0
helmut	0	33.8	99.91	0
helsinki	0	9.13	99.95	0
henry	0	30.34	99.98	0
heraus	32.53	27.4	99.93	32.53
herausforderung	0	33.8	99.98	0
herbert	0	25.64	99.95	0
herbst	0	32.75	99.95	0
hermann	0	35.69	99.98	0
herr	7.52	44.82	99.87	7.52
herren	0	30.34	99.89	0
herrn	0	30.34	99.87	0
herrschaft	0	21.21	99.89	0
herrscht	29.41	31.6	99.92	34.51
hertha	0	55.61	99.98	0
herz	0	43.43	99.89	0
herzen	0	25.64	99.86	0
hessen	0	46.47	99.98	0
hielt	26.99	21.21	99.9	28.66
hierher	51.25	18.27	100	51.25
high	7.52	21.21	99.91	7.52
hilfe	0	76.47	99.85	0
hilflos	22.58	28.95	99.93	22.58
hilft	25.01	51.82	99.89	25.01
himmel	17.48	38.09	99.92	17.48
hinaus	21.13	21.21	99.85	23.86
hirn	11.93	33.8	99.86	11.93
historiker	0	32.75	99.93	0
historische	22.58	23.61	99.93	23.86
hitler	0	46.47	99.91	0
hitlers	0	33.8	99.91	0
hochschule	7.52	33.8	99.9	7.52
hochschulen	0	39.48	99.91	0
hochwasser	0	50.74	99.98	0
hochzeit	0	23.61	99.91	0
hoeneß	0	41.32	99.98	0
hof	15.05	9.13	99.9	15.05
hoffen	29.41	48.28	99.91	29.41
hoffenheim	0	65.86	99.98	0
hoffmann	0	18.27	99.93	0
hoffnung	0	61.95	99.95	0
hoffnungen	0	23.61	99.95	0
hofft	25.01	55.61	99.93	25.01
hohe	23.86	41.88	99.91	26.04
hohen	21.13	27.4	99.93	21.13
hoher	25.01	30.34	99.9	25.01
holen	26.99	23.61	99.95	26.99
holland	0	42.94	99.85	0
hollywood	0	47.59	99.92	0
holocaust	0	53.74	99.87	0
holstein	0	56.18	99.89	0
holt	23.86	53.51	99.93	23.86
homo	0	58.39	99.98	0
honecker	0	14.47	99.96	0
hongkong	0	49.57	99.92	0
horst	0	46.47	99.95	0
hotel	0	41.32	99.89	0
hotels	15.05	18.27	99.95	15.05
hsv	0	44.38	99.98	0
humor	0	25.64	99.92	0
hund	0	25.64	99.87	0
hunde	0	23.61	99.9	0
hundert	36.57	32.75	99.93	36.57
hunderte	0	28.95	99.93	0
hunger	19.46	36.54	99.89	19.46
hut	0	9.13	99.93	0
hälfte	0	60.42	99.92	0
hält	0	56.36	99.9	0
hände	0	30.34	99.95	0
händen	0	18.27	99.89	0
hängt	0	36.54	99.92	0
härte	0	28.95	99.93	0
häuser	0	42.42	99.89	0
höhere	0	37.34	99.85	0
hölle	0	37.34	99.91	0
hörangebot	0	28.95	100	0
hören	0	45.25	100	0
hört	0	41.88	99.85	0
idee	0	37.34	99.92	0
ideen	7.52	33.8	99.91	7.52
identität	0	36.54	99.95	0
ideologie	0	27.4	99.92	0
idylle	0	9.13	99.93	0
ig	34.05	21.21	99.96	34.51
ii	0	40.12	99.89	0
iii	11.93	27.4	99.96	11.93
illusion	0	34.78	99.89	0
illusionen	0	21.21	99.91	0
image	0	28.95	99.89	0
imperium	0	25.64	99.93	0
impressum	0	21.21	99.96	0
index	0	37.34	99.99	0
indexlohn	0	0	99.99	0
indien	0	49.57	99.86	0
industrie	23.86	31.6	99.86	23.86
inflation	17.48	42.42	99.98	17.48
informationen	0	28.95	99.86	0
initiative	0	34.78	99.9	0
innen	15.05	25.64	99.95	19.46
innenminister	0	50.46	99.92	0
innere	26.99	40.73	99.93	26.99
inneren	23.86	36.54	99.98	25.01
insel	0	37.34	99.89	0
inseln	0	21.21	99.92	0
insolvenz	0	55.99	99.99	0
institut	0	21.21	99.95	0
inszeniert	27.86	18.27	99.95	27.86
integration	0	51.56	99.96	0
intellektuelle	23.86	23.61	99.93	23.86
intellektuellen	0	21.21	99.92	0
intelligenz	0	34.78	99.93	0
interesse	0	74.95	99.89	0
interessen	0	25.64	99.96	0
interessiert	22.58	28.95	99.91	22.58
international	17.48	27.4	99.87	26.04
internationale	26.04	42.42	99.91	26.04
internationalen	25.01	31.6	99.95	31.98
internationaler	21.13	37.34	99.91	22.58
internet	7.52	66.3	99.87	7.52
interview	21.13	48.94	99.98	21.13
invasion	0	23.61	99.92	0
investoren	0	42.94	99.93	0
inzwischen	26.04	34.78	99.9	27.86
iphone	0	57.75	99.98	0
irak	21.13	62.87	99.91	21.13
iran	11.93	69.69	99.96	11.93
irland	0	65.31	99.87	0
ironie	0	18.27	100	0
irrtum	0	37.34	99.89	0
is	23.86	69.69	100	30.11
islam	0	47.59	99.93	0
islamischer	15.05	71.61	100	15.05
islamisten	0	48.28	99.98	0
island	0	41.32	99.95	0
israel	11.93	72.28	99.93	11.93
israels	0	58.39	99.86	0
istanbul	0	54.39	99.96	0
it	27.86	37.34	99.9	27.86
italien	15.05	86.94	99.87	15.05
italienische	17.48	46.47	99.95	17.48
italiens	0	59.45	99.92	0
iv	34.05	74.95	99.9	35.38
iwf	11.93	52.32	99.99	11.93
jacques	0	18.27	99.93	0
jagd	0	36.54	99.89	0
jahres	0	56.54	99.89	0
jahrestag	0	23.61	99.98	0
jahrhundert	0	33.8	99.95	0
jahrhunderts	0	23.61	99.91	0
james	0	37.34	99.9	0
jan	0	46.47	99.9	0
januar	0	44.82	99.98	0
japan	0	72.23	99.9	0
japaner	0	36.54	99.91	0
japanische	15.05	40.12	99.98	19.46
japans	0	66.03	99.95	0
jazz	7.52	49.26	99.87	7.52
jean	0	28.95	99.95	0
jelzin	0	27.4	99.98	0
jemen	0	47.94	99.92	0
jens	0	30.34	99.93	0
jenseits	25.01	28.95	99.9	25.01
jerusalem	0	44.82	99.91	0
jesus	0	31.6	99.89	0
jimmy	0	23.61	99.93	0
joachim	0	46.08	99.9	0
job	7.52	50.17	99.91	7.52
jobs	0	54.6	99.84	0
johann	0	23.61	99.93	0
johannes	0	37.34	99.95	0
john	0	47.23	99.96	0
johnson	0	31.6	99.92	0
josef	0	40.73	99.95	0
joseph	0	34.78	99.95	0
journalismus	0	33.8	99.9	0
journalist	0	31.6	99.91	0
journalisten	0	39.48	99.91	0
jubiläum	0	34.78	99.9	0
jude	0	18.27	99.95	0
juden	0	36.54	99.95	0
jugend	7.52	36.54	99.89	7.52
jugendliche	7.52	42.94	99.9	7.52
jugoslawien	0	21.21	99.95	0
juli	0	47.59	99.96	0
jung	22.58	47.94	99.89	22.58
jungblut	0	0	99.98	0
junge	42.49	53.51	99.91	42.49
jungen	30.11	42.42	99.95	35.79
junger	17.48	28.95	99.92	21.13
juni	0	48.28	99.89	0
juristen	0	18.27	99.87	0
jury	0	27.4	99.98	0
justiz	11.93	48.28	99.85	11.93
jäger	0	31.6	99.92	0
jüdische	0	21.21	99.95	0
jüngsten	0	14.47	99.96	0
jürgen	0	38.8	99.91	0
kabinett	0	44.38	99.9	0
kabul	0	48.94	99.92	0
kaffee	0	21.21	99.89	0
kafka	0	23.61	99.91	0
kairo	0	42.42	99.92	0
kaiser	0	14.47	99.87	0
kalifornien	0	32.75	99.92	0
kalt	19.46	35.69	99.89	19.46
kalte	21.13	34.78	99.93	23.86
kalten	19.46	25.64	99.93	19.46
kalter	11.93	18.27	99.84	11.93
kambodscha	11.93	25.64	99.95	11.93
kamen	26.99	38.8	99.95	34.51
kamera	0	25.64	99.89	0
kampagne	0	25.64	99.9	0
kampf	17.48	63.42	99.89	17.48
kanada	7.52	31.6	99.87	7.52
kanal	0	9.13	99.92	0
kandidat	0	35.69	99.92	0
kandidaten	0	35.69	99.93	0
kanzler	0	35.69	99.87	0
kanzlerin	0	57.25	99.98	0
kanzlers	0	0	99.93	0
kapital	0	28.95	99.89	0
kapitalismus	31.98	54.18	99.85	31.98
kapitel	21.13	14.47	99.95	25.01
kaputt	19.46	23.61	99.84	19.46
karl	0	46.47	99.87	0
karlsruhe	0	39.48	99.92	0
karneval	0	9.13	99.89	0
karriere	22.58	53.51	99.89	22.58
karstadt	11.93	48.94	99.98	11.93
karte	0	28.95	99.92	0
kartell	0	9.13	99.9	0
karten	0	28.95	99.98	0
kasse	0	23.61	99.9	0
kassel	0	18.27	99.98	0
kassen	0	21.21	99.95	0
katastrophe	0	52.57	99.89	0
katastrophen	0	14.47	99.91	0
katholische	15.05	53.96	99.95	15.05
kaufen	22.58	46.08	99.89	22.58
kauft	15.05	34.78	99.87	15.05
kaukasus	0	42.42	100	0
kehrt	36.19	40.73	99.91	36.19
keller	0	25.64	99.86	0
kennedy	0	23.61	99.92	0
kennen	23.86	28.95	99.87	23.86
kennt	26.04	44.82	99.91	26.04
kern	7.52	21.21	99.89	7.52
kernenergie	0	39.48	99.98	0
kids	0	60.01	100	0
kiel	0	37.34	99.92	0
kieler	0	25.64	99.92	0
killer	0	25.64	99.89	0
kilometer	0	23.61	99.98	0
kind	21.13	75.08	99.87	21.13
kinder	0	60.42	99.89	0
kindern	0	28.95	99.89	0
kindheit	0	35.69	99.95	0
king	0	39.48	99.91	0
kino	11.93	55.01	99.95	15.05
kirche	0	56.9	99.9	0
kirchen	0	30.34	99.96	0
klage	0	36.54	99.85	0
klagen	31.98	38.8	99.95	31.98
klagt	22.58	36.54	99.89	22.58
klar	22.58	40.12	99.89	22.58
klasse	0	35.69	99.87	0
klassenkampf	11.93	27.4	99.83	11.93
klassik	7.52	35.69	99.96	7.52
klassiker	0	25.64	99.89	0
klassikerausgaben	0	0	99.98	0
klaus	0	45.67	99.96	0
klein	26.04	46.47	99.91	26.04
klemme	0	53.05	99.92	0
klima	0	46.08	99.87	0
klimaschutz	0	54.81	99.99	0
klimawandel	0	51.56	99.98	0
knapp	26.04	38.8	99.87	30.11
knast	0	9.13	99.9	0
koalition	0	65.4	99.87	0
koalitionsverhandlungen	0	44.38	99.95	0
koch	0	48.94	99.98	0
kochwettbewerb	0	40.12	99.99	0
koffer	0	0	99.86	0
kohl	0	33.8	99.95	0
kohle	0	38.8	99.87	0
kollege	0	23.61	99.9	0
kollegen	0	43.91	99.89	0
kolumbien	0	40.73	99.95	0
kolumne	0	44.82	99.92	0
komm	34.05	23.61	99.9	34.05
kommenden	26.04	23.61	99.93	28.66
kommentar	7.52	34.78	99.98	7.52
kommission	0	58.86	99.89	0
kommunen	0	36.54	99.91	0
kommunismus	0	21.21	99.91	0
kommunisten	0	27.4	99.95	0
komplette	25.01	9.13	99.98	25.01
kompromiß	0	0	99.95	0
konferenz	0	40.73	99.91	0
konflikt	0	67.37	100	0
konflikte	0	31.6	99.89	0
kongo	0	32.75	99.91	0
kongreß	0	0	99.91	0
konjunktur	0	63.63	99.86	0
konkurrenz	0	59.88	99.93	0
konrad	0	14.47	99.93	0
konsens	0	28.95	99.91	0
konsequenzen	0	34.78	99.9	0
konservative	22.58	60.69	99.96	22.58
konservativen	26.04	59.59	99.95	26.04
konsum	0	28.95	99.92	0
kontinent	0	23.61	99.9	0
kontra	11.93	18.27	99.9	11.93
kontrolle	0	57.25	99.87	0
kontroverse	19.46	14.47	99.95	19.46
konzentration	0	9.13	99.92	0
konzept	0	44.82	99.89	0
konzern	7.52	40.73	99.92	7.52
konzerne	7.52	32.75	99.92	7.52
konzert	0	34.78	99.89	0
kooperation	0	31.6	99.87	0
kopenhagen	0	46.47	99.95	0
kopf	11.93	45.67	99.9	11.93
korea	0	51.82	99.91	0
korrespondent	0	0	99.93	0
korruption	15.05	42.94	99.91	15.05
kosovo	0	43.91	99.93	0
kosten	21.13	48.61	99.91	21.13
kostet	23.86	38.09	99.87	30.77
krach	0	21.21	99.89	0
kraft	0	59.73	99.92	0
krank	28.66	47.23	99.85	28.66
kranke	11.93	30.34	99.89	19.46
krankenhaus	0	33.8	99.95	0
krankenkassen	0	30.34	0	0
krankheit	0	43.91	99.9	0
krebs	0	34.78	99.87	0
kredit	7.52	57.91	99.86	7.52
kredite	0	46.85	99.89	0
kreml	0	47.94	99.92	0
kreuz	7.52	31.6	99.87	7.52
krieg	19.46	70.34	99.9	19.46
kriege	0	25.64	99.93	0
krieges	0	39.48	99.93	0
krimi	0	25.64	99.91	0
kriminalität	0	43.43	99.9	0
krise	0	98.61	99.86	0
krisen	0	23.61	99.91	0
krisenherde	0	9.13	100	0
kritik	0	61.21	99.83	0
kritiker	0	49.87	99.95	0
kritisch	58.28	28.95	99.96	58.28
kritische	29.41	18.27	99.98	31.98
kritisiert	26.99	61.08	99.95	29.41
kroatien	0	41.32	99.96	0
krupp	0	39.48	99.93	0
krüger	0	27.4	99.96	0
kuba	17.48	36.54	99.91	17.48
kulisse	0	0	99.86	0
kultur	11.93	51.29	99.86	11.93
kulturen	0	23.61	99.96	0
kunde	0	21.21	99.93	0
kunden	0	41.88	99.96	0
kundus	0	57.42	99.98	0
kunst	0	64.05	99.85	0
kunstkalender	0	0	99.87	0
kunstmarkt	0	40.73	99.95	0
kur	22.58	9.13	99.91	22.58
kurden	0	53.05	99.98	0
kurs	0	60.29	99.86	0
kurt	0	34.78	99.92	0
kurze	29.41	23.61	99.91	29.41
kurzer	19.46	21.21	99.95	19.46
kÜrze	0	0	99.98	0
kälte	0	27.4	99.96	0
kämpfe	0	44.82	99.93	0
kämpfen	0	35.69	99.9	0
kämpfer	0	42.42	99.95	0
kämpft	0	46.85	99.93	0
käse	0	27.4	99.93	0
köhler	0	49.57	99.96	0
köln	0	55.99	99.85	0
kölner	0	37.34	99.85	0
könig	0	45.67	99.89	0
könige	0	14.47	99.96	0
königin	0	23.61	99.91	0
könnten	0	43.91	99.9	0
köpfe	0	25.64	99.91	0
körper	0	36.54	99.87	0
küche	0	28.95	99.86	0
kündigt	0	60.95	99.98	0
künftig	0	35.69	99.91	0
künstler	0	52.57	99.91	0
kürze	0	23.61	99.83	0
küste	0	27.4	99.92	0
la	43.52	38.8	99.92	47.86
labor	0	27.4	99.89	0
labour	0	37.34	99.89	0
labyrinth	0	14.47	99.91	0
lachen	15.05	23.61	99.92	15.05
lacht	31.39	14.47	99.95	32.53
laden	7.52	52.57	99.95	7.52
lady	0	40.12	99.92	0
lafontaine	0	45.67	99.91	0
lage	0	46.08	99.87	0
lager	0	30.34	99.91	0
land	34.05	63.42	99.87	39.51
lande	0	33.8	99.89	0
landes	0	27.4	99.95	0
landschaft	11.93	21.21	99.93	11.93
landtag	0	31.6	99.92	0
landtagswahl	0	52.32	100	0
landwirtschaft	17.48	30.34	99.89	17.48
langem	0	14.47	0	0
langen	29.41	23.61	99.91	29.41
langer	26.99	14.47	99.89	26.99
langeweile	0	21.21	99.89	0
langsam	30.11	53.51	99.93	31.39
lassen	37.97	57.75	99.89	37.97
lasst	11.93	46.08	99.93	11.93
last	11.93	28.95	99.92	11.93
lasten	0	46.47	99.92	0
lateinamerika	0	28.95	99.93	0
laufen	34.96	32.75	99.89	36.19
laut	25.01	38.8	99.9	25.01
lauter	21.13	27.4	99.89	21.13
laßt	0	0	99.89	0
le	22.58	44.82	99.89	25.01
league	0	55.21	100	0
lebe	44.1	27.4	99.9	45.34
leben	43.91	69.22	99.87	45.99
lebens	0	38.8	99.89	0
lebensmittel	0	35.69	99.93	0
lebt	33.06	44.82	99.92	37.64
leer	26.04	23.61	99.9	30.11
leere	30.11	32.75	99.9	30.11
leeren	26.99	28.95	99.92	26.99
legen	19.46	36.54	99.92	22.58
legende	0	30.34	99.92	0
legt	27.86	44.38	99.89	30.77
lehnt	22.58	42.94	99.96	22.58
lehre	0	44.38	99.91	0
lehren	23.86	27.4	99.95	23.86
lehrer	0	46.08	99.82	0
lehrstück	0	18.27	99.93	0
lehrt	23.86	0	99.99	23.86
lehrzeit	0	0	100	0
leichen	0	39.48	99.9	0
