a	4555555	11111
ab	4555555	11111
abelian	4555555	11111
absence	4565556	11111
absolute	3544555	01111
absorbing	4555555	11111
absorption	5776777	11111
ac	4666666	11111
accelerated	4545555	11111
acceleration	4545555	11111
accelerator	4555555	11111
acceptor	5776767	11111
acceptors	5666666	11111
accumulation	4444444	01111
accuracy	4555555	11111
accurate	4544444	11111
acid	4544555	11111
acoustic	4555555	11111
actinide	3455455	01111
action	4666666	11111
actions	4566555	11111
activated	5667666	11111
activation	4566556	11111
active	4555555	11111
activity	4555555	11111
adaptive	5555555	11111
adatom	4666666	11111
adatoms	4555555	11111
addendum	3445445	01111
additional	4655655	11111
adhesion	4545555	11111
adiabatic	4555555	11111
ads	4545444	11111
adsorbate	4767666	11111
adsorbates	4666666	11111
adsorbed	4666666	11111
adsorption	4666666	11111
ag	4666666	11111
aggregates	4767676	11111
aggregation	4767677	11111
aging	4555555	11111
aharonov	5666666	11111
air	4544444	11111
al	4777777	11111
alas	4667666	11111
alfv	4555554	11111
algebra	6544444	10100
algebraic	4666556	11111
algorithm	4555555	11111
algorithms	4555555	11111
aligned	4566555	11111
alignment	4555555	11111
alkali	5776777	11111
alkaline	3455544	01111
all	4554455	11111
alloy	4666666	11111
alloying	4655665	11111
alloys	4555555	11111
aln	5555555	11111
alpha	5655565	11111
alphen	4444344	10000
alternating	4555555	11111
alternative	4555555	11111
aluminum	4544444	11101
amorphization	5777777	11111
amorphous	4766666	11111
amplification	4556565	11111
amplifier	4666666	11111
amplitude	4554444	11111
amplitudes	4444434	10000
an	4555555	11111
analog	4444444	11111
analyses	4555555	01111
analysis	4555555	11111
analytic	4655555	11111
analytical	4655555	11111
analyzing	4777677	11111
anchoring	5666666	11111
anderson	4656655	11111
andreev	4555555	11111
angle	4555555	11111
angles	4454445	01011
angular	3445455	01111
anharmonic	5777777	11111
anharmonicity	4566665	11111
anisotropic	4655655	11111
anisotropies	4555555	11111
anisotropy	4555665	11111
annealed	4666666	11111
annealing	4666665	11111
annihilation	3544555	01111
annihilations	4454454	11110
anomalies	3555555	11111
anomalous	4555555	11111
anomaly	4555555	11111
ansatz	4656666	11111
anti	4555555	11111
antiferroelectric	4655555	11111
antiferromagnet	4665555	11111
antiferromagnetic	5665655	11111
antiferromagnetism	4554555	11111
antiferromagnets	4566566	11111
antiproton	4665565	11111
apparent	4555555	11111
appearance	4555555	11111
application	3555555	11111
applications	4555555	11111
applied	4555555	11111
approach	4555555	11111
approaches	4555555	11111
approximate	4554555	11111
approximation	3555555	01111
approximations	4655555	11111
aqueous	4555555	11111
ar	5677777	11111
arbitrary	4555555	11111
are	3444444	01111
argon	5656666	11111
array	5555555	11111
arrays	5565666	11111
arsenic	5766666	11111
arsenide	5555565	11111
artificial	4555555	11111
as	4666666	11111
aspects	4655655	11111
assembled	4555555	11111
assembly	4444444	10110
assisted	4555555	11111
associated	3444454	01111
astrophysical	4545555	11111
asymmetric	4555555	11111
asymmetries	4555555	11111
asymmetry	4555555	11111
