1	225884	225884.00
2	62611	49444.50
3	27631	20331.94
4	15333	10823.07
5	9646	6636.71
6	6480	4450.53
7	4654	3174.56
8	3529	2369.10
9	2646	1830.09
10	2146	1452.73
11	1757	1178.87
12	1520	974.19
13	1239	817.44
14	1061	694.89
15	884	597.37
16	737	518.58
17	674	454.06
18	644	400.59
19	598	355.83
20	504	317.99
21	412	285.74
22	358	258.05
23	359	234.09
24	320	213.24
25	307	194.99
26	291	178.93
27	269	164.73
28	247	152.11
29	195	140.85
30	192	130.76
31	194	121.69
32	179	113.51
33	160	106.11
34	142	99.39
35	124	93.27
36	135	87.69
37	150	82.58
38	131	77.89
39	120	73.58
40	85	69.61
41	92	65.94
42	66	62.55
43	87	59.40
44	74	56.48
45	77	53.77
46	75	51.24
47	64	48.88
48	66	46.68
49	74	44.62
50	56	42.68
51	60	40.87
52	63	39.17
53	54	37.57
54	56	36.06
55	45	34.64
56	52	33.30
57	56	32.03
58	39	30.83
59	46	29.70
60	46	28.62
61	41	27.60
62	40	26.64
63	31	25.72
64	34	24.85
65	28	24.02
66	35	23.23
67	31	22.47
68	33	21.76
69	30	21.07
70	29	20.42
71	31	19.79
72	28	19.19
73	34	18.62
74	25	18.08
75	36	17.55
76	24	17.05
77	28	16.57
78	29	16.11
79	20	15.66
80	22	15.24
81	23	14.83
82	26	14.43
83	22	14.06
84	22	13.69
85	15	13.34
86	20	13.00
87	22	12.68
88	18	12.36
89	19	12.06
90	24	11.77
91	15	11.49
92	10	11.22
93	16	10.95
94	16	10.70
95	14	10.45
96	18	10.22
97	16	9.99
98	17	9.77
99	14	9.55
100	12	9.34
101	14	9.14
102	13	8.95
103	21	8.76
104	13	8.57
105	7	8.40
106	7	8.22
107	12	8.06
108	10	7.89
109	15	7.73
110	13	7.58
111	9	7.43
112	8	7.29
113	14	7.15
114	7	7.01
115	6	6.88
116	10	6.75
117	6	6.62
118	8	6.50
119	9	6.38
120	9	6.27
121	6	6.15
122	8	6.04
123	8	5.94
124	8	5.83
125	8	5.73
126	4	5.63
127	5	5.53
128	1	5.44
129	4	5.35
130	10	5.26
131	3	5.17
132	4	5.08
133	7	5.00
134	5	4.92
135	2	4.84
136	2	4.76
137	3	4.69
138	3	4.61
139	8	4.54
140	7	4.47
141	8	4.40
142	9	4.33
143	13	4.27
144	7	4.20
145	4	4.14
146	2	4.08
147	6	4.02
148	6	3.96
149	7	3.90
150	1	3.84
151	3	3.79
152	7	3.73
153	5	3.68
154	4	3.63
155	5	3.58
156	2	3.53
157	1	3.48
158	6	3.43
159	3	3.38
160	8	3.34
161	1	3.29
162	3	3.25
163	7	3.20
164	5	3.16
165	2	3.12
166	10	3.08
167	5	3.04
168	2	3.00
170	4	2.92
171	4	2.88
172	3	2.85
173	3	2.81
174	4	2.78
175	7	2.74
176	5	2.71
177	5	2.67
178	6	2.64
179	4	2.61
180	4	2.58
181	4	2.55
182	5	2.51
183	5	2.48
184	4	2.46
185	5	2.43
186	2	2.40
187	4	2.37
188	2	2.34
189	2	2.32
191	3	2.26
192	3	2.24
193	1	2.21
194	2	2.19
195	2	2.16
196	4	2.14
197	4	2.11
198	3	2.09
199	2	2.07
200	3	2.05
203	6	1.98
204	4	1.96
205	2	1.94
206	4	1.92
208	1	1.88
209	5	1.86
210	3	1.84
211	3	1.82
212	1	1.80
214	1	1.76
215	1	1.75
216	6	1.73
217	3	1.71
218	2	1.69
219	3	1.68
220	2	1.66
223	2	1.61
224	2	1.60
225	2	1.58
226	1	1.56
227	4	1.55
228	3	1.53
229	3	1.52
230	3	1.51
231	3	1.49
232	3	1.48
234	3	1.45
235	2	1.44
236	1	1.42
237	3	1.41
239	1	1.38
241	3	1.36
243	1	1.33
245	1	1.31
246	6	1.30
247	2	1.29
248	2	1.28
249	2	1.27
250	2	1.25
252	4	1.23
253	1	1.22
254	1	1.21
255	4	1.20
256	1	1.19
257	2	1.18
258	1	1.17
260	1	1.15
261	2	1.14
262	2	1.13
263	1	1.12
264	4	1.11
265	2	1.10
266	1	1.09
267	1	1.09
268	1	1.08
270	2	1.06
271	4	1.05
272	1	1.04
273	2	1.03
274	1	1.03
275	2	1.02
276	1	1.01
280	1	0.98
281	1	0.97
282	2	0.96
283	2	0.96
284	1	0.95
285	1	0.94
286	1	0.93
287	2	0.93
289	2	0.91
290	2	0.91
292	1	0.89
293	3	0.89
294	2	0.88
295	2	0.87
297	2	0.86
299	2	0.85
301	1	0.83
302	2	0.83
304	2	0.82
307	2	0.80
308	2	0.79
309	2	0.79
311	1	0.78
313	4	0.77
314	1	0.76
315	1	0.76
317	3	0.75
318	2	0.74
319	2	0.74
320	2	0.73
321	1	0.73
322	1	0.72
325	1	0.71
326	1	0.70
328	1	0.69
330	3	0.68
331	1	0.68
332	1	0.67
333	2	0.67
335	2	0.66
337	1	0.65
338	2	0.65
339	1	0.64
340	1	0.64
341	2	0.64
342	2	0.63
344	2	0.62
349	1	0.60
353	1	0.59
359	1	0.57
360	3	0.56
363	2	0.55
365	1	0.55
370	1	0.53
371	1	0.53
376	1	0.51
377	1	0.51
378	1	0.51
380	1	0.50
381	1	0.50
382	1	0.50
384	1	0.49
389	1	0.48
391	1	0.47
392	2	0.47
393	3	0.47
394	1	0.46
395	1	0.46
397	1	0.46
400	1	0.45
406	1	0.43
408	1	0.43
410	1	0.42
412	1	0.42
413	1	0.42
416	2	0.41
424	1	0.39
426	1	0.39
430	2	0.38
431	1	0.38
442	1	0.36
444	1	0.36
445	1	0.35
447	1	0.35
468	1	0.32
469	1	0.32
487	1	0.29
494	1	0.28
500	1	0.27
501	1	0.27
507	2	0.27
512	2	0.26
519	2	0.25
525	2	0.25
528	1	0.24
530	1	0.24
532	1	0.24
533	1	0.24
548	1	0.22
553	1	0.22
564	1	0.21
565	1	0.21
569	1	0.21
572	1	0.20
573	1	0.20
579	1	0.20
597	1	0.19
599	1	0.18
604	2	0.18
606	1	0.18
608	1	0.18
616	1	0.17
629	1	0.17
637	1	0.16
638	1	0.16
639	1	0.16
641	1	0.16
655	1	0.15
665	1	0.15
670	1	0.14
675	1	0.14
679	1	0.14
686	1	0.14
692	1	0.13
707	1	0.13
715	2	0.13
719	1	0.12
733	1	0.12
743	1	0.12
746	1	0.11
753	1	0.11
781	1	0.10
788	1	0.10
830	1	0.09
843	1	0.09
844	1	0.09
849	1	0.09
857	1	0.08
863	1	0.08
872	1	0.08
880	2	0.08
881	1	0.08
892	1	0.08
933	1	0.07
965	1	0.06
966	1	0.06
1005	1	0.06
1033	1	0.06
1038	1	0.06
1094	1	0.05
1112	1	0.05
1125	1	0.05
1126	1	0.05
1132	1	0.05
1182	1	0.04
1233	1	0.04
1256	1	0.04
1264	1	0.04
1317	1	0.03
1385	1	0.03
1457	1	0.03
1473	1	0.03
1529	2	0.02
1763	1	0.02
1858	1	0.02
2104	1	0.01
2251	1	0.01
2796	1	0.01
