2008.667	14611
2008.750	14991
2008.833	13002
2008.917	12365
2009.000	16199
2009.083	17949
2009.167	20834
2009.250	21766
2009.333	26244
2009.417	28794
2009.500	33006
2009.583	33260
2009.667	33552
2009.750	36884
2009.833	39172
2009.917	38437
2010.000	45676
2010.083	45590
2010.167	53127
2010.250	50990
2010.333	53008
2010.417	56957
2010.500	62140
2010.583	65129
2010.667	62663
2010.750	65326
2010.833	71340
2010.917	71356
2011.000	81922
2011.083	85154
2011.167	103597
2011.250	98384
2011.333	102931
2011.417	101682
2011.500	103242
2011.583	109948
2011.667	104774
2011.750	103925
2011.833	111749
2011.917	106381
2012.000	119198
2012.083	127549
2012.167	137982
2012.250	132876
2012.333	138640
2012.417	134721
2012.500	146682
2012.583	145641
2012.667	135860
2012.750	154124
2012.833	152374
2012.917	139461
2013.000	162536
2013.083	159054
2013.167	179668
2013.250	177030
2013.333	171226
2013.417	162897
2013.500	181568
2013.583	174499
2013.667	169747
2013.750	189124
2013.833	180821
2013.917	169624
2014.000	193872
2014.083	193001
2014.167	213622
2014.250	200009
2014.333	181645
2014.417	167606
2014.500	182450
2014.583	168397
2014.667	170961
2014.750	178068
2014.833	171743
2014.917	160093
2015.000	170956
2015.083	173179
2015.167	216252
2015.250	215687
2015.333	211183
2015.417	215922
2015.500	224981
2015.583	209100
2015.667	205425
2015.750	216436
2015.833	207280
2015.917	198788
